Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,10,95,114,23,9.523809523809524
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
speed t+48,==,speed t+6,color t+0,<,color_goal,5,0,95,95,100.0
color t+0,>,color_goal,color t+1,>=,color_goal,95,10,23,114,90.47619047619048
color t+0,<=,color_goal,color t+0,<,color_goal,124,14,0,105,89.85507246376811
color t+0,<=,color_goal,color t+1,<=,color_goal,122,15,15,90,89.05109489051095
angle t+11,>,angle t+0,color t+0,<,color_goal,99,13,19,101,88.39285714285714
color t+0,<,color_goal,color t+1,<,color_goal,107,16,17,102,86.99186991869918
color t+0,>,color_goal,color t+1,>,color_goal,90,15,15,122,85.71428571428571
color t+11,>,color_goal,color t+0,<,color_goal,85,15,33,99,85.0
color t+12,>,color_goal,color t+0,<,color_goal,85,15,33,98,85.0
color t+0,>,color_goal,color t+10,<,color_goal,85,16,35,97,84.15841584158416
color t+7,>,color_goal,color t+0,<,color t+27,74,14,39,89,84.0909090909091
color t+0,<=,color_goal,color t+1,<,color_goal,114,23,10,95,83.21167883211679
color t+10,>,color_goal,color t+0,<,color_goal,83,17,35,98,83.0
color t+0,>,color_goal,color t+11,<,color_goal,83,17,36,96,83.0
color t+0,>,color_goal,color t+12,<,color_goal,82,17,36,96,82.82828282828282
angle t+11,>,angle t+0,color t+20,<,color_goal,90,19,22,92,82.56880733944955
color t+29,>,color_goal,distance t+0,>,distance t+32,76,17,92,26,81.72043010752688
color t+28,>,color_goal,distance t+0,>,distance t+32,76,17,92,26,81.72043010752688
color t+0,>,color_goal,color t+9,<,color_goal,83,19,38,94,81.37254901960785
color t+0,>=,color_goal,color t+10,<,color_goal,92,23,28,90,80.0
color t+9,>,color_goal,color t+0,<,color_goal,80,20,38,96,80.0
color t+5,==,color t+14,color t+0,>,color_goal,4,1,93,131,80.0
color t+0,==,color t+9,color t+26,<,color_goal,4,1,108,104,80.0
speed t+42,==,speed t+0,color t+36,<,color_goal,4,1,94,102,80.0
color t+6,==,color t+15,color t+0,>,color_goal,4,1,92,131,80.0
color t+0,==,color t+9,color t+1,<,color_goal,4,1,114,115,80.0
color t+0,==,color t+9,angle t+5,<=,angle t+0,4,1,113,116,80.0
color t+0,>,color_goal,color t+32,<,color_goal,72,20,36,83,78.26086956521739
color t+0,>,color_goal,distance t+0,>,distance t+32,72,20,96,23,78.26086956521739
color t+0,>,color_goal,color t+33,<,color_goal,71,20,36,83,78.02197802197803
color t+34,>,color_goal,color t+0,<=,color_goal,71,20,48,70,78.02197802197803
color t+13,>,color_goal,color t+0,<,color_goal,78,22,40,90,78.0
color t+5,>,color_goal,distance t+0,>,distance t+32,70,20,98,23,77.77777777777779
color t+0,>,color_goal,color t+13,<,color_goal,76,22,41,91,77.55102040816327
color t+33,>,color_goal,color t+0,<,color_goal,70,21,36,83,76.92307692307693
color t+0,>,color_goal,color t+8,<,color_goal,79,24,43,89,76.69902912621359
color t+0,>,color_goal,color t+31,<,color_goal,71,22,38,81,76.34408602150538
color t+32,>,color_goal,color t+0,<,color_goal,69,22,37,83,75.82417582417582
color t+8,>,color_goal,color t+0,<,color_goal,75,25,43,92,75.0
color t+0,>,color_goal,color t+34,<,color_goal,67,23,39,80,74.44444444444444
