Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,13,100,93,36,11.504424778761061
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,113,0,23,107,100.0
color t+1,>,color_goal,color t+0,>=,color_goal,101,12,35,94,89.38053097345133
color t+0,>,color_goal,color t+1,>=,color_goal,100,13,36,93,88.49557522123894
color t+0,<=,color_goal,color t+0,<,color_goal,107,23,0,113,82.3076923076923
color t+0,>,color_goal,color t+1,>,color_goal,93,20,20,109,82.30088495575221
color t+1,>,color_goal,color t+0,>,color_goal,93,20,20,109,82.30088495575221
color t+0,<,color_goal,color t+1,<,color_goal,84,22,22,114,79.24528301886792
color t+45,>,color_goal,color t+0,>=,color_goal,66,21,47,64,75.86206896551724
color t+3,>,color_goal,distance t+0,>,distance t+18,80,28,77,40,74.07407407407408
color t+47,<,color t+30,distance t+0,>,distance t+18,72,26,69,29,73.46938775510205
color t+4,>,color_goal,distance t+0,>,distance t+18,80,29,77,39,73.39449541284404
color t+0,<=,color_goal,color t+1,<,color_goal,93,36,13,100,72.09302325581395
color t+21,>,color_goal,color t+0,>=,color_goal,74,29,53,66,71.84466019417476
color t+38,>=,color t+0,color t+0,<,color_goal,73,29,14,89,71.56862745098039
color t+2,>,color_goal,distance t+0,>,distance t+18,76,31,81,37,71.02803738317756
color t+8,>,color_goal,color t+0,<=,color_goal,78,32,44,81,70.9090909090909
color t+24,>,color_goal,distance t+0,>,distance t+18,71,30,80,38,70.29702970297029
color t+47,>,color_goal,distance t+0,>,distance t+18,60,27,81,28,68.96551724137932
color t+0,<,color_goal,color t+22,<,color_goal,65,30,32,94,68.42105263157895
color t+18,>,color_goal,color t+0,>=,color_goal,71,34,57,63,67.61904761904762
color t+0,>,color_goal,distance t+0,>,distance t+18,71,34,86,34,67.61904761904762
color t+2,>,color_goal,color t+0,>,color_goal,76,37,37,91,67.2566371681416
color t+47,>,color_goal,color t+0,>=,color_goal,58,29,53,56,66.66666666666666
color t+0,>,color_goal,color t+8,<,color_goal,74,39,29,93,65.48672566371681
color t+0,>,color_goal,color t+9,<,color_goal,74,39,29,92,65.48672566371681
color t+17,<,color t+0,color t+16,<,color_goal,73,39,26,88,65.17857142857143
color t+22,>,color_goal,color t+0,>,color_goal,66,36,37,82,64.70588235294117
color t+38,>=,color t+0,color t+48,<,color_goal,64,36,23,72,64.0
color t+43,>,color_goal,color t+0,>=,color_goal,56,32,58,54,63.63636363636363
color t+41,>,color_goal,distance t+0,>,distance t+18,57,33,89,23,63.33333333333333
color t+9,>,color_goal,color t+0,<,color_goal,69,40,29,96,63.30275229357798
color t+17,>,color_goal,color t+0,>=,color_goal,66,39,63,58,62.857142857142854
color t+0,>,color_goal,color t+10,<,color_goal,69,43,34,87,61.60714285714286
color t+20,>,color_goal,color t+0,>,color_goal,64,40,40,79,61.53846153846154
color t+10,>,color_goal,color t+0,<,color_goal,66,42,32,93,61.111111111111114
color t+45,>,color_goal,distance t+0,>,distance t+18,53,34,89,22,60.91954022988506
color t+8,>,color_goal,color t+0,<,color_goal,67,43,32,93,60.909090909090914
color t+6,>,color_goal,color t+0,<=,color_goal,68,44,56,69,60.71428571428571
color t+43,>,color_goal,distance t+0,>,distance t+18,53,35,91,21,60.22727272727273
color t+47,<,color t+30,color t+0,<,color_goal,59,39,26,72,60.204081632653065
color t+0,<,color_goal,color t+21,<,color_goal,57,38,40,87,60.0
angle t+18,<,angle t+0,color t+14,<,color_goal,65,45,33,82,59.09090909090909
color t+0,>,color_goal,color t+7,<,color_goal,66,47,37,86,58.4070796460177
color t+0,>,color_goal,color t+11,<,color_goal,64,47,39,82,57.65765765765766
color t+0,>,color_goal,color t+29,<,color_goal,58,43,36,77,57.42574257425742
color t+0,>,color_goal,color t+31,<,color_goal,58,43,36,75,57.42574257425742
