Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,12,67,81,34,15.18987341772152
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,79,0,22,94,100.0
color t+0,==,color_goal,color t+0,>=,color_goal,22,0,79,94,100.0
distance t+10,>,distance t+44,distance t+19,<=,distance t+0,100,13,18,20,88.49557522123894
color t+0,>,color_goal,distance t+12,>=,distance t+36,56,10,68,25,84.84848484848484
color t+0,>,color_goal,color t+1,>=,color_goal,67,12,34,81,84.81012658227847
color t+10,>,color_goal,distance t+19,<=,distance t+0,61,13,78,24,82.43243243243244
color t+0,>,color_goal,distance t+20,>=,distance t+44,54,12,62,23,81.81818181818183
color t+39,>,color_goal,distance t+19,<=,distance t+0,49,11,74,22,81.66666666666667
color t+0,>,color_goal,distance t+19,<=,distance t+0,60,14,79,23,81.08108108108108
color t+0,<=,color_goal,color t+0,<,color_goal,94,22,0,79,81.03448275862068
angle t+40,>,angle t+22,distance t+19,<=,distance t+0,58,14,64,19,80.55555555555556
color t+24,>,color t+7,distance t+19,<=,distance t+0,60,15,74,22,80.0
color t+0,>=,color_goal,distance t+19,<=,distance t+0,74,19,65,18,79.56989247311827
speed t+21,>,speed t+26,distance t+19,<=,distance t+0,93,25,39,12,78.8135593220339
color t+12,>,color_goal,distance t+0,>=,distance t+24,55,15,81,20,78.57142857142857
color t+45,>,color t+24,distance t+19,<=,distance t+0,53,15,64,18,77.94117647058823
color t+0,<,color_goal,color t+1,<,color_goal,73,21,20,80,77.6595744680851
color t+0,>,color_goal,distance t+14,<=,distance t+7,57,17,81,26,77.02702702702703
color t+20,>,color_goal,distance t+19,<=,distance t+0,53,16,85,21,76.81159420289855
angle t+27,>,angle t+31,distance t+0,>=,distance t+24,66,20,63,15,76.74418604651163
color t+0,>,color_goal,distance t+22,>=,distance t+46,49,15,65,20,76.5625
color t+46,==,color t+0,distance t+20,>=,distance t+44,6,2,108,33,75.0
