Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,10,107,100,24,8.547008547008547
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,>=,color_goal,107,10,24,100,91.45299145299145
color t+0,<=,color_goal,color t+0,<,color_goal,111,13,0,118,89.51612903225806
color t+0,>,color_goal,color t+1,>,color_goal,102,15,16,108,87.17948717948718
color t+0,<,color_goal,color t+1,<,color_goal,96,15,14,116,86.48648648648648
speed t+18,==,speed t+0,color t+1,<,color_goal,5,1,95,123,83.33333333333334
speed t+18,==,speed t+0,color t+1,<=,color_goal,5,1,106,112,83.33333333333334
color t+0,<=,color_goal,color t+1,<,color_goal,100,24,10,107,80.64516129032258
color t+43,>,color_goal,distance t+0,>=,distance t+6,73,22,70,34,76.84210526315789
color t+0,>,color_goal,distance t+0,>=,distance t+6,87,27,80,42,76.31578947368422
color t+0,<=,color_goal,color t+22,<,color_goal,84,28,18,90,75.0
color t+23,>,color_goal,color t+0,>,color_goal,79,27,28,85,74.52830188679245
color t+10,>,color_goal,color t+0,<,color_goal,82,30,24,96,73.21428571428571
color t+11,>,color_goal,color t+0,<,color_goal,80,31,25,95,72.07207207207207
color t+0,>,color_goal,color t+9,<,color_goal,82,32,25,94,71.9298245614035
color t+0,>,color_goal,color t+10,<,color_goal,82,32,25,93,71.9298245614035
color t+9,>,color_goal,color t+0,<,color_goal,81,32,26,94,71.68141592920354
color t+0,>,color_goal,color t+11,<,color_goal,81,33,26,91,71.05263157894737
color t+32,>,color_goal,color t+0,<,color_goal,71,29,25,85,71.0
color t+33,>,color_goal,color t+0,<,color_goal,71,29,24,85,71.0
distance t+3,>,distance t+0,speed t+0,<=,speed t+5,53,22,38,124,70.66666666666667
color t+0,<=,color_goal,color t+20,<,color_goal,79,33,23,87,70.53571428571429
color t+12,>,color_goal,color t+0,<,color_goal,77,33,27,93,70.0
color t+0,>=,color_goal,color t+10,<,color_goal,88,38,19,87,69.84126984126983
color t+3,>,color_goal,distance t+0,>=,distance t+6,80,35,87,34,69.56521739130434
