Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,69,72,37,19.767441860465116
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,86,0,20,90,100.0
speed t+25,<=,speed t+0,speed t+6,>,speed t+39,102,21,25,9,82.92682926829268
color t+0,<=,color_goal,color t+0,<,color_goal,90,20,0,86,81.81818181818183
color t+0,>,color_goal,color t+1,>=,color_goal,69,17,37,72,80.23255813953489
color t+1,>,color_goal,color t+0,>=,color_goal,69,17,37,72,80.23255813953489
color t+0,>,color_goal,distance t+15,<=,distance t+9,64,18,74,25,78.04878048780488
color t+0,>,color_goal,angle t+5,<=,angle t+0,63,20,27,81,75.90361445783132
color t+0,>,color_goal,speed t+6,>,speed t+39,53,18,74,12,74.64788732394366
color t+0,>,color_goal,color t+18,<=,color t+0,57,22,37,62,72.15189873417721
color t+0,>,color_goal,color t+1,>,color_goal,61,25,25,84,70.93023255813954
color t+0,<,color_goal,color t+1,<,color_goal,63,26,26,80,70.78651685393258
color t+0,<=,color_goal,color t+1,<,color_goal,72,37,17,69,66.05504587155964
color t+22,>,color_goal,color t+0,<,color_goal,51,27,32,64,65.38461538461539
color t+27,>,color_goal,angle t+5,<=,angle t+0,49,26,32,62,65.33333333333333
color t+21,>,color_goal,color t+0,<,color_goal,49,30,34,62,62.0253164556962
color t+0,>,color_goal,color t+22,<,color_goal,48,30,29,67,61.53846153846154
color t+0,>,color_goal,distance t+28,<,distance t+25,46,29,55,38,61.33333333333333
color t+23,>,color_goal,color t+0,<,color_goal,47,30,36,60,61.038961038961034
color t+0,<=,color_goal,color t+18,<,color_goal,60,39,19,60,60.60606060606061
color t+40,>,color_goal,color t+0,<,color_goal,43,28,33,52,60.56338028169014
color t+0,>,color_goal,angle t+3,<=,angle t+9,50,33,46,58,60.24096385542169
color t+0,>,color_goal,color t+4,<,color_goal,50,34,36,72,59.523809523809526
color t+39,>,color_goal,color t+0,<,color_goal,42,29,34,52,59.154929577464785
color t+0,>,color_goal,color t+5,<,color_goal,49,34,37,71,59.036144578313255
color t+0,<=,color_goal,angle t+17,<=,angle t+12,58,41,27,53,58.58585858585859
