Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,10,95,114,23,9.523809523809524
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,>=,color_goal,95,10,23,114,90.47619047619048
color t+11,>,color_goal,color t+0,<=,color_goal,90,10,42,90,90.0
color t+0,<=,color_goal,color t+0,<,color_goal,124,14,0,105,89.85507246376811
color t+25,<=,color t+0,color t+0,>=,color t+24,92,13,18,95,87.61904761904762
color t+0,<,color_goal,color t+1,<,color_goal,107,16,17,102,86.99186991869918
color t+0,>,color_goal,color t+1,>,color_goal,90,15,15,122,85.71428571428571
color t+11,>,color_goal,color t+0,<,color_goal,85,15,33,99,85.0
color t+12,>,color_goal,color t+0,<,color_goal,85,15,33,98,85.0
color t+0,>,color_goal,color t+10,<,color_goal,85,16,35,97,84.15841584158416
color t+0,<=,color_goal,color t+1,<,color_goal,114,23,10,95,83.21167883211679
color t+10,>,color_goal,color t+0,<,color_goal,83,17,35,98,83.0
color t+0,>,color_goal,color t+11,<,color_goal,83,17,36,96,83.0
color t+0,>,color_goal,color t+12,<,color_goal,82,17,36,96,82.82828282828282
color t+0,>,color_goal,color t+9,<,color_goal,83,19,38,94,81.37254901960785
color t+9,>,color_goal,angle t+0,<=,angle t+47,66,16,40,74,80.48780487804879
color t+9,>,color_goal,color t+0,<,color_goal,80,20,38,96,80.0
color t+25,<=,color t+0,color t+29,<,color_goal,82,21,27,84,79.6116504854369
color t+0,>,color_goal,color t+9,<=,color t+17,74,20,51,81,78.72340425531915
color t+0,>,color_goal,color t+32,<,color_goal,72,20,36,83,78.26086956521739
color t+0,>,color_goal,color t+33,<,color_goal,71,20,36,83,78.02197802197803
color t+13,>,color_goal,color t+0,<,color_goal,78,22,40,90,78.0
color t+0,>,color_goal,color t+13,<,color_goal,76,22,41,91,77.55102040816327
color t+33,>,color_goal,color t+0,<,color_goal,70,21,36,83,76.92307692307693
color t+0,>,color_goal,color t+8,<,color_goal,79,24,43,89,76.69902912621359
color t+0,>,color_goal,color t+31,<,color_goal,71,22,38,81,76.34408602150538
color t+32,>,color_goal,color t+0,<,color_goal,69,22,37,83,75.82417582417582
color t+8,>,color_goal,color t+0,<,color_goal,75,25,43,92,75.0
color t+0,>,color_goal,color t+34,<,color_goal,67,23,39,80,74.44444444444444
color t+31,>,color_goal,color t+0,<,color_goal,67,24,39,82,73.62637362637363
color t+0,>,color_goal,color t+30,<,color_goal,68,25,41,79,73.11827956989248
color t+34,>,color_goal,color t+0,<,color_goal,66,25,40,78,72.52747252747253
color t+0,>,color_goal,color t+0,>=,color t+24,67,26,43,83,72.04301075268818
color t+0,>,color_goal,color t+7,<,color_goal,72,32,51,81,69.23076923076923
color t+14,>,color_goal,color t+0,<,color_goal,69,31,49,80,69.0
color t+0,>,color_goal,color t+29,<,color_goal,64,29,45,76,68.81720430107528
color t+30,>,color_goal,color t+0,<,color_goal,63,29,43,78,68.47826086956522
color t+0,>,color_goal,color t+14,<,color_goal,65,32,51,81,67.0103092783505
color t+7,>,color_goal,color t+0,<,color_goal,67,33,51,85,67.0
angle t+21,==,angle t+0,color t+9,>=,color t+33,2,1,101,106,66.66666666666666
color t+0,>,color_goal,color t+35,<,color_goal,59,30,46,73,66.29213483146067
