Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,18,64,65,25,21.951219512195124
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,83,0,6,84,100.0
color t+0,==,color_goal,color t+42,<,color_goal,3,0,59,69,100.0
color t+0,==,color_goal,speed t+31,>=,speed t+32,3,0,88,50,100.0
color t+47,>,color_goal,distance t+49,<,distance t+0,56,3,61,4,94.91525423728814
color t+24,>,color_goal,distance t+49,<,distance t+0,55,3,62,4,94.82758620689656
color t+0,<=,color_goal,color t+0,<,color_goal,84,6,0,83,93.33333333333333
color t+9,>,color_goal,distance t+49,<,distance t+0,54,4,63,3,93.10344827586206
color t+0,>,color_goal,color t+1,>=,color_goal,64,18,25,65,78.04878048780488
color t+0,>,color_goal,color t+1,>,color_goal,63,19,20,70,76.82926829268293
color t+0,>,color_goal,color t+12,<,color t+0,58,18,16,69,76.31578947368422
color t+0,>,color_goal,color t+4,<,color_goal,60,19,20,70,75.9493670886076
color t+0,<,color_goal,color t+1,<,color_goal,63,21,20,68,75.0
color t+4,>,color_goal,color t+0,<,color_goal,61,22,23,63,73.49397590361446
color t+0,<=,color_goal,color t+1,<,color_goal,65,25,18,64,72.22222222222221
color t+0,>,color_goal,color t+5,<,color_goal,56,22,24,66,71.7948717948718
color t+5,>,color_goal,color t+0,<,color_goal,57,25,27,59,69.51219512195121
color t+0,>,color_goal,color t+15,<=,color t+29,47,22,25,50,68.11594202898551
color t+0,>,color_goal,speed t+10,>=,speed t+11,51,25,55,31,67.10526315789474
color t+0,==,color_goal,color t+25,<,color_goal,2,1,70,75,66.66666666666666
color t+19,>,color_goal,color t+0,>,color_goal,49,25,25,55,66.21621621621621
color t+15,>,color_goal,color t+0,<,color_goal,50,26,29,53,65.78947368421053
color t+1,>,color_goal,color t+12,<,color t+0,50,26,24,61,65.78947368421053
color t+0,>,color_goal,color t+43,<=,color t+31,40,21,25,44,65.57377049180327
color t+49,>,color_goal,angle t+49,>=,angle t+0,40,21,26,37,65.57377049180327
color t+3,>,color_goal,color t+0,<,color_goal,54,29,30,57,65.06024096385542
color t+0,>,color_goal,color t+3,<,color_goal,52,28,29,61,65.0
color t+0,>,color_goal,color t+6,<=,color t+20,47,26,29,51,64.38356164383562
color t+33,>,color_goal,color t+0,<=,color t+14,43,24,26,47,64.17910447761194
speed t+0,>=,speed t+18,speed t+30,>=,speed t+31,77,44,15,6,63.63636363636363
color t+19,>,color_goal,color t+12,<,color t+0,47,27,25,55,63.51351351351351
color t+0,>,color_goal,color t+15,<,color_goal,48,28,28,54,63.1578947368421
color t+39,>,color_goal,color t+0,>=,color_goal,41,24,25,44,63.07692307692307
color t+0,>,color_goal,color t+23,<,color_goal,45,27,27,51,62.5
color t+14,>,color_goal,color t+0,<,color_goal,48,29,32,50,62.33766233766234
color t+18,>,color_goal,color t+12,<,color t+0,46,28,27,54,62.16216216216216
color t+24,>,color_goal,color t+0,<,color_goal,44,27,31,47,61.97183098591549
color t+0,>,color_goal,color t+24,<,color_goal,44,27,28,50,61.97183098591549
color t+25,>,color_goal,color t+0,<,color_goal,43,27,32,46,61.42857142857143
color t+16,>,color_goal,color t+0,<,color_goal,46,29,32,50,61.33333333333333
color t+43,>,color_goal,color t+0,<,color_goal,38,24,28,40,61.29032258064516
color t+0,>,color_goal,color t+34,<,color_goal,41,26,26,46,61.19402985074627
color t+0,>,color_goal,speed t+31,>=,speed t+32,41,26,50,24,61.19402985074627
