Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,13,100,93,36,11.504424778761061
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,113,0,23,107,100.0
speed t+49,==,speed t+0,color t+15,<,color_goal,1,0,80,113,100.0
color t+1,>,color_goal,color t+0,>=,color_goal,101,12,35,94,89.38053097345133
color t+0,>,color_goal,color t+1,>=,color_goal,100,13,36,93,88.49557522123894
color t+0,>,color_goal,color t+1,>,color_goal,93,20,20,109,82.30088495575221
color t+0,<,color_goal,color t+1,<,color_goal,84,22,22,114,79.24528301886792
color t+0,>,color_goal,speed t+16,>,speed t+29,78,23,64,49,77.22772277227723
color t+9,>,color_goal,color t+0,<=,color_goal,82,27,39,86,75.22935779816514
color t+46,>,color_goal,color t+0,>=,color_goal,65,22,47,63,74.71264367816092
color t+0,<=,color_goal,color t+1,<,color_goal,93,36,13,100,72.09302325581395
color t+21,>,color_goal,color t+0,>=,color_goal,74,29,53,66,71.84466019417476
color t+24,>,color_goal,color t+0,>=,color_goal,70,31,54,64,69.3069306930693
color t+44,>,color_goal,color t+0,>=,color_goal,60,27,54,58,68.96551724137932
color t+18,>,color_goal,color t+0,>=,color_goal,71,34,57,63,67.61904761904762
color t+0,>,color_goal,color t+8,<,color_goal,74,39,29,93,65.48672566371681
color t+0,>,color_goal,color t+9,<,color_goal,74,39,29,92,65.48672566371681
color t+3,>,color_goal,color t+0,>=,color_goal,74,39,62,65,65.48672566371681
color t+43,>,color_goal,color t+0,>=,color_goal,56,32,58,54,63.63636363636363
color t+9,>,color_goal,color t+0,<,color_goal,69,40,29,96,63.30275229357798
distance t+39,>,distance t+32,color t+0,>=,color_goal,39,24,78,63,61.904761904761905
color t+0,>,color_goal,color t+10,<,color_goal,69,43,34,87,61.60714285714286
color t+10,>,color_goal,color t+0,<,color_goal,66,42,32,93,61.111111111111114
color t+8,>,color_goal,color t+0,<,color_goal,67,43,32,93,60.909090909090914
color t+28,>,color_goal,color t+0,<=,color_goal,60,39,54,62,60.60606060606061
color t+0,>,color_goal,color t+7,<,color_goal,66,47,37,86,58.4070796460177
color t+0,>,color_goal,color t+11,<,color_goal,64,47,39,82,57.65765765765766
color t+5,>,color_goal,color t+0,>=,color_goal,65,48,71,54,57.52212389380531
color t+0,>,color_goal,color t+29,<,color_goal,58,43,36,77,57.42574257425742
color t+0,>,color_goal,color t+31,<,color_goal,58,43,36,75,57.42574257425742
color t+0,>=,color_goal,color t+10,<,color_goal,77,58,26,72,57.03703703703704
color t+11,>,color_goal,color t+0,<,color_goal,61,46,37,88,57.009345794392516
color t+32,>,color_goal,color t+0,<,color_goal,54,41,34,82,56.84210526315789
color t+0,>,color_goal,color t+30,<,color_goal,57,44,37,75,56.43564356435643
color t+0,>,color_goal,color t+32,<,color_goal,57,44,37,73,56.43564356435643
color t+13,>,color_goal,color t+0,<,color_goal,59,46,39,86,56.19047619047619
color t+12,>,color_goal,color t+0,<,color_goal,59,47,39,86,55.660377358490564
color t+0,>,color_goal,color t+12,<,color_goal,61,49,42,79,55.45454545454545
color t+31,>,color_goal,color t+0,<,color_goal,53,43,36,80,55.208333333333336
color t+43,>,color_goal,color t+0,>,color_goal,48,40,45,67,54.54545454545454
color t+0,>,color_goal,color t+28,<,color_goal,55,46,39,75,54.45544554455446
color t+0,>,color_goal,color t+13,<,color_goal,59,50,44,77,54.12844036697248
color t+7,>,color_goal,color t+0,<,color_goal,60,51,40,85,54.054054054054056
color t+0,>,color_goal,color t+33,<,color_goal,54,47,40,69,53.46534653465347
color t+14,>,color_goal,color t+0,<,color_goal,56,49,41,83,53.333333333333336
color t+30,>,color_goal,color t+0,<,color_goal,51,46,39,77,52.57731958762887
color t+14,>,color_goal,color t+28,>,color t+0,53,48,55,59,52.475247524752476
color t+15,>,color_goal,color t+0,>=,color_goal,55,50,76,47,52.38095238095239
