Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,72,58,24,19.101123595505616
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,==,color_goal,color t+26,<,color_goal,5,0,61,80,100.0
color t+0,<=,color_goal,color t+0,<,color_goal,75,7,0,90,91.46341463414635
color t+42,>,color_goal,distance t+0,>=,distance t+10,61,7,55,7,89.70588235294117
color t+43,>,color_goal,distance t+0,>=,distance t+10,60,7,55,7,89.55223880597015
distance t+2,>=,distance t+22,distance t+0,>=,distance t+10,105,17,18,10,86.0655737704918
color t+17,>,color_goal,distance t+0,>=,distance t+10,68,12,59,16,85.0
color t+28,>,color_goal,distance t+0,>=,distance t+10,62,12,60,10,83.78378378378379
color t+36,>,color t+9,distance t+0,>=,distance t+10,54,11,63,8,83.07692307692308
color t+0,>,color_goal,distance t+0,>=,distance t+10,70,15,62,15,82.35294117647058
color t+0,>,color_goal,angle t+15,<=,angle t+0,68,15,15,59,81.92771084337349
color t+12,<,color t+0,distance t+0,>=,distance t+10,67,15,63,15,81.70731707317073
color t+18,>,color_goal,distance t+0,>=,distance t+10,64,15,62,13,81.0126582278481
color t+19,>,color_goal,distance t+0,>=,distance t+10,64,15,61,13,81.0126582278481
color t+0,>,color_goal,color t+1,>=,color_goal,72,17,24,58,80.89887640449437
color t+24,>,color_goal,distance t+0,>=,distance t+10,60,16,62,10,78.94736842105263
color t+0,>,color_goal,distance t+25,<=,distance t+19,62,17,53,15,78.48101265822784
color t+0,>,color_goal,color t+1,>,color_goal,68,21,21,61,76.40449438202246
color t+28,>,color_goal,distance t+13,<,distance t+0,55,19,55,15,74.32432432432432
color t+0,<,color_goal,color t+1,<,color_goal,55,20,20,76,73.33333333333333
color t+7,>,color_goal,distance t+13,<,distance t+0,58,23,59,19,71.60493827160494
color t+0,>,color_goal,distance t+13,<,distance t+0,60,24,57,18,71.42857142857143
color t+43,>=,color t+0,color t+0,<,color_goal,45,18,11,55,71.42857142857143
color t+0,==,color_goal,distance t+0,>=,distance t+10,5,2,127,28,71.42857142857143
color t+0,==,color_goal,color t+18,<,color_goal,5,2,64,83,71.42857142857143
color t+0,<=,color_goal,color t+1,<,color_goal,58,24,17,72,70.73170731707317
color t+0,<=,color_goal,distance t+22,<,distance t+9,49,22,59,20,69.01408450704226
color t+0,>,color_goal,color t+4,<,color_goal,59,28,16,65,67.81609195402298
speed t+44,>,speed t+40,color t+0,>=,color_goal,24,12,48,44,66.66666666666666
color t+9,>,color_goal,distance t+13,<,distance t+0,53,27,64,15,66.25
color t+0,>=,color_goal,color t+4,<,color_goal,61,33,14,60,64.8936170212766
