Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,18,71,55,23,20.224719101123593
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,89,0,6,73,100.0
color t+0,<=,color_goal,color t+0,<,color_goal,73,6,0,89,92.40506329113924
color t+0,>,color_goal,color t+0,>=,color t+4,78,11,10,65,87.64044943820225
color t+45,>,color_goal,distance t+11,<,distance t+0,52,11,45,15,82.53968253968253
color t+0,>,color_goal,color t+1,>=,color_goal,71,18,23,55,79.7752808988764
color t+13,>,color_goal,distance t+11,<,distance t+0,63,18,49,25,77.77777777777779
color t+0,>,color_goal,color t+1,>,color_goal,69,20,19,59,77.52808988764045
color t+0,<,color_goal,color t+1,<,color_goal,54,18,19,76,75.0
color t+28,>,color_goal,distance t+11,<,distance t+0,54,18,51,17,75.0
color t+0,<=,color_goal,distance t+11,<,distance t+0,52,19,61,25,73.23943661971832
color t+29,>,color_goal,color t+0,>=,color_goal,52,20,29,38,72.22222222222221
color t+0,>,color_goal,distance t+11,<,distance t+0,61,25,52,19,70.93023255813954
color t+15,>,color_goal,distance t+11,<,distance t+0,56,23,55,19,70.88607594936708
color t+0,<=,color_goal,color t+1,<,color_goal,55,23,18,71,70.51282051282051
distance t+0,<=,distance t+5,color t+0,>=,color_goal,35,15,60,53,70.0
color t+0,>,color_goal,distance t+30,<,distance t+19,52,23,42,21,69.33333333333334
color t+0,>=,color_goal,distance t+30,<,distance t+19,55,25,39,19,68.75
color t+0,>,color_goal,distance t+36,<,distance t+25,50,23,38,21,68.4931506849315
color t+15,>,color t+0,color t+0,<,color_goal,48,24,16,65,66.66666666666666
color t+0,>,color_goal,color t+4,<,color_goal,59,30,14,61,66.29213483146067
color t+31,>,color_goal,color t+0,>,color_goal,47,25,27,38,65.27777777777779
color t+0,>,color_goal,color t+5,<,color_goal,58,31,15,59,65.1685393258427
color t+4,>,color_goal,color t+0,<,color_goal,55,30,14,65,64.70588235294117
color t+0,<=,color_goal,color t+38,<,color_goal,38,21,19,52,64.40677966101694
color t+5,>,color_goal,color t+0,<,color_goal,53,31,15,64,63.095238095238095
color t+0,>,color_goal,color t+34,<,color_goal,45,28,14,47,61.64383561643836
color t+15,>,color_goal,color t+0,>=,color_goal,48,31,41,33,60.75949367088608
color t+47,>,color_goal,color t+0,>,color_goal,38,25,28,30,60.317460317460316
distance t+33,<,distance t+5,color t+0,>=,color_goal,64,43,14,14,59.813084112149525
color t+0,>,color_goal,color t+33,<,color_goal,42,31,17,45,57.534246575342465
color t+0,>,color_goal,color t+35,<,color_goal,42,31,17,43,57.534246575342465
color t+0,<,color_goal,color t+8,<,color_goal,39,29,33,59,57.35294117647059
color t+0,>,color_goal,color t+25,<,color_goal,44,34,20,45,56.41025641025641
color t+0,>,color_goal,color t+3,<,color_goal,50,39,23,53,56.17977528089888
color t+25,>,color_goal,color t+0,<,color_goal,41,32,19,51,56.16438356164384
distance t+28,<,distance t+0,color t+0,>=,color_goal,62,50,20,8,55.35714285714286
color t+34,>,color_goal,color t+0,<,color_goal,38,31,18,47,55.072463768115945
color t+0,>,color_goal,color t+6,<,color_goal,48,40,25,49,54.54545454545454
color t+35,>,color_goal,color t+0,<,color_goal,37,31,18,47,54.41176470588235
color t+13,>,color t+38,color t+0,<,color_goal,37,31,17,45,54.41176470588235
color t+0,>,color_goal,color t+26,<,color_goal,42,36,22,42,53.84615384615385
color t+43,>,color_goal,color t+0,<,color_goal,35,30,17,43,53.84615384615385
color t+0,>=,color_goal,color t+3,<,color_goal,51,44,22,48,53.68421052631579
color t+0,>,color_goal,color t+43,<,color_goal,37,32,17,39,53.62318840579711
color t+3,>,color_goal,color t+0,<,color_goal,46,40,24,55,53.48837209302325
color t+0,>=,color_goal,color t+43,<,color_goal,39,34,15,37,53.42465753424658
color t+0,>,color_goal,color t+24,<,color_goal,42,37,22,43,53.16455696202531
color t+42,>,color_goal,color t+0,<,color_goal,35,31,18,42,53.03030303030303
color t+0,<,color_goal,color t+10,<,color_goal,35,31,35,57,53.03030303030303
color t+0,>,color_goal,color t+42,<,color_goal,36,33,18,39,52.17391304347826
color t+6,>,color_goal,color t+0,<,color_goal,43,40,25,54,51.80722891566265
color t+44,>,color_goal,color t+0,>=,color_goal,33,31,39,21,51.5625
color t+33,>,color_goal,color t+0,<,color_goal,36,34,21,44,51.42857142857142
color t+26,>,color_goal,color t+0,<,color_goal,37,35,22,48,51.388888888888886
color t+24,>,color_goal,color t+0,<,color_goal,38,36,22,48,51.35135135135135
color t+23,>,color t+8,color t+0,<,color_goal,35,34,25,51,50.72463768115942
color t+0,>=,color_goal,color t+36,<,color_goal,39,39,20,34,50.0
distance t+0,<=,distance t+5,color t+45,<,color_goal,14,14,40,55,50.0
color t+0,==,color_goal,color t+44,<,color_goal,2,2,52,68,50.0
color t+0,>=,color_goal,color t+13,<,color_goal,45,46,23,41,49.45054945054945
color t+0,>,color_goal,color t+13,<,color_goal,42,43,26,44,49.411764705882355
color t+0,>,color_goal,color t+36,<,color_goal,36,37,23,36,49.31506849315068
color t+44,>,color_goal,color t+0,<,color_goal,31,33,21,39,48.4375
color t+13,>,color_goal,color t+0,<,color_goal,39,42,25,49,48.148148148148145
color t+0,>=,color_goal,color t+14,<,color_goal,43,47,25,39,47.77777777777778
color t+36,>,color_goal,color t+0,<,color_goal,32,35,22,43,47.76119402985074
color t+0,>,color_goal,color t+12,<,color_goal,41,45,27,43,47.674418604651166
color t+0,>,color_goal,color t+23,<,color_goal,38,42,26,39,47.5
color t+48,<,color t+43,color t+0,<,color_goal,28,31,23,38,47.45762711864407
color t+0,>,color_goal,color t+27,<,color_goal,37,41,26,37,47.43589743589743
color t+0,>,color_goal,color t+14,<,color_goal,40,45,28,41,47.05882352941176
color t+0,>,color_goal,color t+44,<,color_goal,32,36,22,34,47.05882352941176
color t+0,>,color_goal,color t+49,<,color_goal,31,35,19,34,46.96969696969697
color t+0,>,color_goal,color t+41,<,color_goal,32,37,22,36,46.3768115942029
color t+0,<=,color_goal,color t+18,<,color_goal,32,37,36,45,46.3768115942029
color t+12,>,color_goal,color t+0,<,color_goal,38,44,26,48,46.34146341463415
color t+11,>,color_goal,color t+0,>=,color t+4,38,44,46,29,46.34146341463415
color t+14,>,color_goal,color t+0,<,color_goal,37,43,27,47,46.25
color t+49,>,color_goal,color t+0,<,color_goal,29,34,21,35,46.03174603174603
speed t+0,>=,speed t+4,color t+6,<,color_goal,54,64,19,25,45.76271186440678
color t+0,>,color_goal,color t+11,<,color_goal,39,47,30,41,45.348837209302324
distance t+34,<,distance t+6,color t+0,<,color_goal,48,58,8,20,45.28301886792453
distance t+39,<=,distance t+0,color t+17,<,color_goal,52,63,3,11,45.21739130434783
color t+0,>,color_goal,color t+32,<,color_goal,33,40,26,37,45.20547945205479
speed t+0,>=,speed t+4,color t+36,<,color_goal,47,57,12,16,45.19230769230769
speed t+0,>=,speed t+4,color t+0,<,color_goal,53,65,16,30,44.91525423728814
distance t+28,<,distance t+0,color t+0,<,color_goal,50,62,8,20,44.642857142857146
color t+0,>,color_goal,color t+18,<,color_goal,36,45,32,37,44.44444444444444
color t+27,>,color_goal,color t+0,<,color_goal,32,40,26,43,44.44444444444444
distance t+39,<=,distance t+0,color t+1,<,color_goal,51,64,3,11,44.34782608695652
color t+23,>,color_goal,color t+0,<,color_goal,33,42,27,43,44.0
color t+11,>,color_goal,color t+0,<,color_goal,36,46,29,46,43.90243902439025
distance t+39,<=,distance t+0,color t+0,<,color_goal,50,65,4,10,43.47826086956522
color t+41,>,color_goal,color t+0,<,color_goal,29,38,25,35,43.28358208955223
color t+0,>,color_goal,color t+20,<,color_goal,35,46,31,36,43.20987654320987
color t+0,>,color_goal,angle t+7,<,angle t+11,37,49,42,29,43.02325581395349
color t+0,>,color_goal,color t+15,<,color_goal,36,48,32,37,42.857142857142854
color t+48,>,color_goal,color t+0,<,color_goal,27,36,24,33,42.857142857142854
color t+0,>,color_goal,color t+17,<,color_goal,35,47,33,36,42.68292682926829
color t+0,>,color_goal,color t+48,<,color_goal,28,38,23,31,42.42424242424242
color t+32,>,color_goal,color t+0,<,color_goal,30,41,28,37,42.25352112676056
color t+0,>,color_goal,color t+16,<,color_goal,35,48,33,36,42.168674698795186
color t+0,>,color_goal,color t+19,<,color_goal,34,47,33,35,41.9753086419753
color t+15,>,color t+0,color t+31,<,color_goal,28,39,31,39,41.7910447761194
distance t+39,<=,distance t+0,color t+13,<,color_goal,48,67,6,8,41.73913043478261
color t+0,>,color_goal,color t+7,<,color_goal,36,51,37,37,41.37931034482759
speed t+0,>=,speed t+4,color t+48,<,color_goal,40,57,11,12,41.23711340206185
color t+18,>,color_goal,color t+0,<,color_goal,31,45,33,41,40.78947368421053
distance t+31,<,distance t+41,color t+0,<,color_goal,13,19,41,54,40.625
distance t+33,<,distance t+5,color t+0,<,color_goal,43,64,14,14,40.18691588785047
color t+0,==,color t+1,color t+27,<,color_goal,4,6,59,72,40.0
color t+0,==,color_goal,color t+26,<,color_goal,2,3,62,75,40.0
color t+45,>,color_goal,color t+0,<,color_goal,25,38,27,33,39.682539682539684
distance t+0,<=,distance t+5,color t+18,<,color_goal,17,26,51,56,39.53488372093023
color t+0,>,color_goal,color t+21,<,color_goal,32,49,33,33,39.50617283950617
color t+0,>,color_goal,color t+22,<,color_goal,32,49,32,33,39.50617283950617
color t+0,>,color_goal,color t+2,<,color_goal,35,54,38,39,39.325842696629216
color t+15,>,color_goal,color t+0,<,color_goal,31,48,33,41,39.24050632911392
distance t+28,<,distance t+0,color t+43,<,color_goal,41,64,13,7,39.04761904761905
color t+0,<=,color_goal,color t+36,<,color_goal,23,36,36,37,38.983050847457626
color t+17,>,color_goal,color t+0,<,color_goal,30,47,34,40,38.961038961038966
color t+0,>,color_goal,color t+45,<,color_goal,26,41,28,28,38.80597014925373
color t+0,>=,color_goal,color t+46,<,color_goal,27,43,26,26,38.57142857142858
color t+16,>,color_goal,color t+0,<,color_goal,30,48,34,40,38.46153846153847
color t+0,>,color_goal,color t+10,<,color_goal,33,53,37,35,38.372093023255815
color t+20,>,color_goal,color t+0,<,color_goal,29,47,33,39,38.15789473684211
color t+47,>,color_goal,color t+0,<,color_goal,24,39,28,30,38.095238095238095
color t+0,>,color_goal,color t+47,<,color_goal,25,41,27,28,37.878787878787875
color t+7,>,color_goal,color t+0,<,color_goal,31,51,37,42,37.80487804878049
color t+0,>,color_goal,color t+40,<,color_goal,26,43,29,30,37.68115942028986
color t+0,>,color_goal,color t+28,<,color_goal,29,48,33,30,37.66233766233766
color t+0,>,color_goal,color t+37,<,color_goal,27,45,31,28,37.5
color t+37,>,color_goal,color t+0,<,color_goal,25,42,29,35,37.3134328358209
color t+40,>,color_goal,color t+0,<,color_goal,25,42,29,32,37.3134328358209
color t+19,>,color_goal,color t+0,<,color_goal,28,48,35,38,36.84210526315789
color t+21,>,color_goal,color t+0,<,color_goal,28,48,33,38,36.84210526315789
color t+22,>,color_goal,color t+0,<,color_goal,28,48,32,38,36.84210526315789
color t+2,>,color_goal,color t+0,<,color_goal,32,55,39,40,36.7816091954023
color t+46,>,color_goal,color t+0,<,color_goal,23,40,29,30,36.507936507936506
color t+0,>,color_goal,color t+46,<,color_goal,24,42,29,27,36.36363636363637
color t+10,>,color_goal,color t+0,<,color_goal,29,53,37,39,35.36585365853659
speed t+23,<,speed t+29,color t+0,<,color_goal,14,26,44,55,35.0
speed t+17,<,speed t+23,color t+0,<,color_goal,14,26,46,59,35.0
color t+0,>,color_goal,color t+8,<,color_goal,30,56,42,32,34.883720930232556
color t+28,>,color_goal,color t+0,<,color_goal,25,47,33,35,34.72222222222222
color t+0,>,color_goal,color t+31,<,color_goal,25,49,34,29,33.78378378378378
color t+0,>,color_goal,color t+9,<,color_goal,29,57,42,31,33.72093023255814
color t+15,>,color t+0,color t+6,<,color_goal,24,48,43,38,33.33333333333333
color t+0,==,color_goal,distance t+11,<,distance t+0,2,4,111,40,33.33333333333333
color t+31,>,color_goal,color t+0,<,color_goal,23,49,35,30,31.944444444444443
color t+8,>,color_goal,color t+0,<,color_goal,26,56,42,36,31.70731707317073
color t+0,>,color_goal,color t+39,<,color_goal,22,48,34,25,31.428571428571427
color t+9,>,color_goal,color t+0,<,color_goal,25,57,42,35,30.48780487804878
color t+0,>,color_goal,color t+29,<,color_goal,23,53,38,25,30.263157894736842
color t+39,>,color_goal,color t+0,<,color_goal,20,47,34,28,29.850746268656714
color t+0,>,color_goal,color t+30,<,color_goal,21,54,39,24,28.000000000000004
color t+29,>,color_goal,color t+0,<,color_goal,20,52,38,29,27.77777777777778
color t+0,>,color_goal,color t+38,<,color_goal,19,52,38,21,26.76056338028169
color t+30,>,color_goal,color t+0,<,color_goal,19,53,39,27,26.38888888888889
color t+38,>,color_goal,color t+0,<,color_goal,17,50,37,26,25.37313432835821
distance t+24,==,distance t+10,color t+0,<,color_goal,2,6,58,78,25.0
color t+0,==,color t+30,color t+14,<,color_goal,1,3,58,76,25.0
color t+0,==,color t+30,color t+0,<,color_goal,1,3,57,77,25.0
color t+0,>,color_goal,color t+1,<=,color_goal,20,69,59,19,22.47191011235955
color t+0,>,color_goal,color t+1,<,color_goal,18,71,55,23,20.224719101123593
color t+0,>=,color_goal,color t+1,<,color_goal,19,76,54,18,20.0
color t+0,==,color_goal,distance t+36,<,distance t+25,1,4,87,40,20.0
color t+0,==,color_goal,color t+1,<,color_goal,1,5,72,89,16.666666666666664
speed t+0,>=,speed t+4,color t+2,<=,distance t+0,118,0,46,0,10.000000000000009
distance t+39,<=,distance t+0,distance t+0,>,angle t+40,115,0,13,0,10.000000000000009
speed t+0,>=,speed t+4,color t+0,<=,speed t+12,113,0,43,0,10.000000000000009
distance t+28,<,distance t+0,distance t+28,>,color t+11,112,0,28,0,10.000000000000009
color t+0,>=,color_goal,color t+1,<,distance_goal,95,0,72,0,10.000000000000009
color t+0,>,color_goal,angle t+1,<,color_goal,89,0,77,1,10.000000000000009
color t+0,>,color_goal,color t+1,<,distance_goal,89,0,78,0,10.000000000000009
color t+0,>,color_goal,color t+2,<=,distance t+0,89,0,77,0,10.000000000000009
color t+1,>,color_goal,color t+0,<,distance_goal,88,0,79,0,10.000000000000009
color t+0,>,color_goal,color t+11,<=,distance t+9,86,0,71,0,10.000000000000009
color t+0,>,color_goal,color t+0,<=,speed t+12,86,0,70,0,10.000000000000009
color t+0,>,color_goal,speed t+12,>=,color t+11,86,0,70,0,10.000000000000009
color t+0,>,color_goal,color t+16,<=,distance t+14,83,0,69,0,10.000000000000009
color t+0,>,color_goal,distance t+2,>=,angle t+17,82,0,69,0,10.000000000000009
color t+10,>,color_goal,color t+0,<=,speed t+12,82,0,74,0,10.000000000000009
