Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,19,62,56,34,23.456790123456788
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,==,color_goal,distance t+0,>,distance t+29,14,0,114,15,100.0
color t+31,>,color_goal,distance t+0,>,distance t+29,59,6,67,9,90.76923076923077
color t+15,>,color_goal,distance t+0,>,distance t+29,60,7,68,8,89.55223880597015
color t+0,>,color_goal,distance t+0,>,distance t+29,60,8,68,7,88.23529411764706
color t+0,>,color_goal,speed t+22,<,speed t+0,62,10,64,14,86.11111111111111
color t+43,>,color_goal,speed t+22,<,speed t+0,51,9,61,8,85.0
color t+0,>,color_goal,distance t+22,>,distance t+41,52,10,51,18,83.87096774193549
color t+0,<=,color_goal,color t+0,<,color_goal,75,15,0,82,83.33333333333334
color t+18,>,color_goal,speed t+22,<,speed t+0,57,13,69,11,81.42857142857143
color t+17,>,color_goal,speed t+22,<,speed t+0,57,13,69,11,81.42857142857143
color t+0,>,color_goal,color t+1,>=,color_goal,62,19,34,56,76.5432098765432
color t+0,>,color_goal,speed t+0,>=,speed t+6,60,19,69,18,75.9493670886076
color t+0,>,color_goal,color t+4,<,color_goal,57,22,18,71,72.15189873417721
color t+4,>,color_goal,color t+0,<,color_goal,56,22,18,72,71.7948717948718
color t+0,>,color_goal,color t+1,>,color_goal,58,23,23,67,71.60493827160494
color t+0,<,color_goal,color t+1,<,color_goal,53,22,22,74,70.66666666666667
color t+16,>,color_goal,color t+0,>,color_goal,51,22,24,59,69.86301369863014
color t+0,>,color_goal,color t+3,<,color_goal,53,26,22,68,67.08860759493672
color t+0,>,color_goal,color t+15,>,color t+14,50,26,22,59,65.78947368421053
color t+3,>,color_goal,color t+0,<,color_goal,51,28,24,66,64.55696202531645
color t+0,>,color_goal,color t+12,<,color_goal,49,27,22,62,64.47368421052632
color t+15,>,color_goal,color t+0,>,color_goal,47,26,29,55,64.38356164383562
color t+12,>,color_goal,color t+0,<,color_goal,47,27,22,64,63.51351351351351
color t+0,<=,color_goal,color t+1,<,color_goal,56,34,19,62,62.22222222222222
color t+0,>,color_goal,color t+20,<,color_goal,44,30,23,55,59.45945945945946
color t+20,>,color_goal,color t+0,<,color_goal,42,29,22,59,59.154929577464785
color t+18,>,color_goal,color t+1,>,color t+0,43,30,26,55,58.9041095890411
color t+11,>,color_goal,color t+0,<,color_goal,44,31,25,61,58.666666666666664
color t+0,>,color_goal,color t+5,<,color_goal,46,33,29,59,58.22784810126582
color t+0,>,color_goal,color t+13,<,color_goal,44,32,27,56,57.89473684210527
color t+0,>,color_goal,color t+21,<,color_goal,42,31,25,53,57.534246575342465
color t+19,>,color_goal,color t+0,<,color_goal,40,32,25,56,55.55555555555556
color t+13,>,color_goal,color t+0,<,color_goal,40,33,29,57,54.794520547945204
color t+5,>,color_goal,color t+0,<,color_goal,42,35,31,59,54.54545454545454
color t+29,>,color_goal,color t+0,<=,color_goal,36,30,39,38,54.54545454545454
color t+27,>,color_goal,color t+0,<,color_goal,37,31,24,53,54.41176470588235
color t+0,>,color_goal,color t+35,<,color t+26,35,30,31,41,53.84615384615385
color t+28,>,color_goal,color t+0,<,color_goal,36,31,25,52,53.73134328358209
color t+0,>,color_goal,color t+45,<,color_goal,32,28,23,44,53.333333333333336
color t+0,>,color_goal,color t+11,<,color_goal,41,36,30,54,53.246753246753244
color t+0,>,color_goal,color t+38,<,color_goal,34,30,25,45,53.125
color t+21,>,color_goal,color t+0,<,color_goal,37,33,27,54,52.85714285714286
color t+0,>,color_goal,color t+19,<,color_goal,39,35,28,51,52.702702702702695
color t+0,>,color_goal,color t+46,<,color_goal,31,28,24,43,52.54237288135594
color t+0,>=,color_goal,color t+19,<,color_goal,46,42,21,44,52.27272727272727
color t+46,>,color_goal,color t+0,<,color_goal,29,28,27,42,50.877192982456144
color t+0,>,color_goal,color t+44,<,color_goal,31,30,24,43,50.81967213114754
color t+0,<,color_goal,color t+25,<,color_goal,31,30,33,53,50.81967213114754
color t+36,>,color_goal,color t+0,<,color_goal,32,31,27,46,50.79365079365079
color t+0,>,color_goal,color t+37,<,color_goal,33,32,26,44,50.76923076923077
color t+30,>,color_goal,color t+0,<=,color_goal,33,32,42,35,50.76923076923077
color t+0,>,color_goal,color t+29,<,color_goal,34,34,29,46,50.0
color t+35,>,color_goal,color t+0,<,color_goal,32,32,28,45,50.0
color t+45,>,color_goal,color t+0,<,color_goal,29,29,27,42,50.0
color t+0,>,color_goal,color t+28,<,color_goal,34,35,29,46,49.275362318840585
color t+34,>,color_goal,color t+0,<,color_goal,32,33,29,44,49.23076923076923
color t+0,>,color_goal,color t+36,<,color_goal,32,33,27,44,49.23076923076923
color t+44,>,color_goal,color t+0,<,color_goal,29,30,27,42,49.152542372881356
color t+47,>,color_goal,color t+0,<,color_goal,28,29,28,40,49.122807017543856
color t+0,>,color_goal,color t+20,<,color t+11,36,38,37,41,48.64864864864865
color t+0,<=,color_goal,color t+6,<,color_goal,42,45,33,46,48.275862068965516
color t+0,>,color_goal,color t+47,<,color_goal,28,30,27,40,48.275862068965516
color t+26,>,color_goal,color t+0,<,color_goal,33,36,28,49,47.82608695652174
color t+0,>,color_goal,color t+2,<,color_goal,38,42,37,53,47.5
color t+10,>,color_goal,color t+0,<,color_goal,36,40,33,53,47.368421052631575
color t+0,>,color_goal,color t+22,<,color_goal,34,38,33,45,47.22222222222222
color t+0,>,color_goal,color t+25,<=,color t+18,34,38,50,25,47.22222222222222
color t+0,>,color_goal,color t+27,<,color_goal,33,37,30,45,47.14285714285714
speed t+10,>=,speed t+7,color t+0,<,color_goal,21,24,48,69,46.666666666666664
color t+0,==,color_goal,color t+11,<,color_goal,7,8,64,82,46.666666666666664
color t+18,>,color_goal,color t+0,<,color_goal,34,39,32,49,46.57534246575342
angle t+33,>,angle t+29,color t+0,<,color_goal,33,38,28,40,46.478873239436616
color t+0,>,color_goal,color t+30,<,color_goal,31,36,32,43,46.26865671641791
color t+8,>,color_goal,color t+1,>,color t+0,35,41,39,49,46.05263157894737
color t+0,>,color_goal,color t+39,<,color_goal,29,34,29,41,46.03174603174603
color t+0,>,color_goal,color t+18,<,color_goal,34,40,33,47,45.94594594594595
color t+38,>,color_goal,color t+0,<,color_goal,28,33,30,43,45.90163934426229
color t+39,>,color_goal,color t+0,<,color_goal,28,33,30,42,45.90163934426229
angle t+0,<,angle t+7,color t+16,<,color_goal,36,43,33,44,45.56962025316456
