Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,69,72,37,19.767441860465116
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,86,0,20,90,100.0
color t+0,>,color_goal,distance t+11,>,distance t+45,57,11,61,22,83.82352941176471
color t+13,>,color_goal,distance t+34,<,distance t+0,62,13,67,20,82.66666666666667
color t+0,<,color_goal,angle t+0,<,angle t+30,65,14,18,69,82.27848101265823
color t+0,<=,color_goal,color t+0,<,color_goal,90,20,0,86,81.81818181818183
speed t+31,<,speed t+12,distance t+34,<,distance t+0,102,24,27,9,80.95238095238095
color t+0,>,color_goal,color t+1,>=,color_goal,69,17,37,72,80.23255813953489
speed t+19,<,speed t+0,speed t+21,>=,speed t+34,98,28,22,14,77.77777777777779
color t+0,>,color_goal,speed t+4,>=,speed t+17,61,19,76,23,76.25
color t+0,>=,color_goal,color t+1,>=,color_goal,80,26,26,63,75.47169811320755
color t+0,<=,color_goal,distance t+11,>,distance t+45,61,22,57,11,73.49397590361446
color t+0,>,color_goal,speed t+21,>=,speed t+34,52,21,68,21,71.23287671232876
color t+0,>,color_goal,color t+1,>,color_goal,61,25,25,84,70.93023255813954
color t+0,<,color_goal,color t+1,<,color_goal,63,26,26,80,70.78651685393258
color t+8,>,color_goal,speed t+0,>=,speed t+3,58,24,67,39,70.73170731707317
color t+0,>,color_goal,speed t+33,>=,speed t+46,45,23,63,19,66.17647058823529
color t+0,<=,color_goal,color t+1,<,color_goal,72,37,17,69,66.05504587155964
color t+22,>,color_goal,color t+0,<,color_goal,51,27,32,64,65.38461538461539
color t+21,>,color_goal,color t+0,<,color_goal,49,30,34,62,62.0253164556962
color t+0,>,color_goal,color t+22,<,color_goal,48,30,29,67,61.53846153846154
color t+23,>,color_goal,color t+0,<,color_goal,47,30,36,60,61.038961038961034
color t+40,>,color_goal,color t+0,<,color_goal,43,28,33,52,60.56338028169014
color t+0,>,color_goal,angle t+13,<,angle t+43,41,27,33,52,60.29411764705882
color t+0,<,color_goal,color t+34,<,color_goal,47,31,26,58,60.256410256410255
color t+0,>,color_goal,color t+4,<,color_goal,50,34,36,72,59.523809523809526
