Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,69,72,37,19.767441860465116
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,==,color_goal,speed t+0,>=,speed t+36,10,1,121,28,90.9090909090909
color t+0,<=,color_goal,distance t+25,<=,distance t+0,83,11,63,14,88.29787234042553
color t+33,>,color_goal,distance t+25,<=,distance t+0,63,9,75,16,87.5
color t+29,>,color_goal,distance t+25,<=,distance t+0,65,10,77,15,86.66666666666667
color t+49,>,color_goal,distance t+25,<=,distance t+0,56,10,71,10,84.84848484848484
color t+0,==,color_goal,distance t+25,<=,distance t+0,10,2,136,23,83.33333333333334
color t+2,>,color_goal,distance t+25,<=,distance t+0,64,13,82,12,83.11688311688312
color t+0,<=,color_goal,color t+0,<,color_goal,90,20,0,86,81.81818181818183
color t+0,>,color_goal,distance t+25,<=,distance t+0,63,14,83,11,81.81818181818183
color t+0,>,color_goal,speed t+0,>=,speed t+36,58,13,73,16,81.69014084507043
color t+8,>,color_goal,speed t+0,>=,speed t+36,57,14,74,15,80.28169014084507
color t+0,>,color_goal,color t+1,>=,color_goal,69,17,37,72,80.23255813953489
color t+0,>,color_goal,speed t+7,>=,speed t+45,54,14,67,16,79.41176470588235
color t+0,>,color_goal,speed t+8,>=,speed t+44,52,16,71,13,76.47058823529412
color t+0,<=,color t+4,color t+0,<,color_goal,81,32,7,72,71.68141592920354
color t+0,>,color_goal,color t+1,>,color_goal,61,25,25,84,70.93023255813954
color t+0,<,color_goal,color t+1,<,color_goal,63,26,26,80,70.78651685393258
color t+35,>,color_goal,color t+0,>,color_goal,49,22,23,67,69.01408450704226
color t+0,<=,color_goal,color t+1,<,color_goal,72,37,17,69,66.05504587155964
color t+22,>,color_goal,color t+0,<,color_goal,51,27,32,64,65.38461538461539
distance t+35,==,distance t+34,color t+0,<,color_goal,21,12,57,71,63.63636363636363
color t+21,>,color_goal,color t+0,<,color_goal,49,30,34,62,62.0253164556962
color t+0,>,color_goal,color t+22,<,color_goal,48,30,29,67,61.53846153846154
color t+23,>,color_goal,color t+0,<,color_goal,47,30,36,60,61.038961038961034
color t+40,>,color_goal,color t+0,<,color_goal,43,28,33,52,60.56338028169014
