Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,19,62,56,34,23.456790123456788
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,distance_goal,<,distance t+0,82,0,90,0,100.0
color t+1,>,color_goal,distance_goal,<,distance t+0,81,0,90,0,100.0
color t+0,>,color_goal,distance_goal,<,distance t+1,81,0,90,0,100.0
color t+0,>,color_goal,distance_goal,<,distance t+6,79,0,87,0,100.0
color t+33,>,color_goal,distance_goal,<,distance t+0,65,0,74,0,100.0
color t+0,>,color_goal,distance_goal,<,distance t+40,62,0,70,0,100.0
color t+41,>,color_goal,distance_goal,<,distance t+0,61,0,70,0,100.0
color t+0,>,color_goal,distance_goal,<,distance t+49,58,0,65,0,100.0
speed t+27,<=,speed t+18,speed t+38,<=,speed t+0,102,5,24,3,95.32710280373831
color t+31,>,color_goal,speed t+38,<=,speed t+0,59,3,67,5,95.16129032258065
color t+41,>,color_goal,speed t+38,<=,speed t+0,57,4,66,4,93.44262295081968
color t+0,>,color_goal,speed t+47,<=,speed t+9,53,5,64,3,91.37931034482759
distance t+34,<=,distance t+40,speed t+38,<=,speed t+0,38,4,86,4,90.47619047619048
color t+0,<=,color_goal,speed t+0,>=,speed t+14,71,11,65,11,86.58536585365853
color t+0,>,color_goal,speed t+0,>=,speed t+14,65,11,71,11,85.52631578947368
color t+9,>,color_goal,speed t+0,>=,speed t+14,61,12,75,10,83.56164383561644
color t+0,<=,color_goal,color t+0,<,color_goal,75,15,0,82,83.33333333333334
distance t+0,==,distance t+32,color t+1,>=,color_goal,4,1,75,60,80.0
color t+11,>,color t+0,color t+0,<,color_goal,62,17,7,75,78.48101265822784
color t+0,>,color_goal,color t+1,>=,color_goal,62,19,34,56,76.5432098765432
color t+0,>,color_goal,color t+4,<,color_goal,57,22,18,71,72.15189873417721
color t+4,>,color_goal,color t+0,<,color_goal,56,22,18,72,71.7948717948718
color t+0,>,color_goal,color t+1,>,color_goal,58,23,23,67,71.60493827160494
color t+0,>,color_goal,color t+25,<,color t+0,51,21,20,55,70.83333333333334
color t+0,<,color_goal,color t+1,<,color_goal,53,22,22,74,70.66666666666667
color t+0,>,color_goal,color t+3,<,color_goal,53,26,22,68,67.08860759493672
color t+3,>,color_goal,color t+0,<,color_goal,51,28,24,66,64.55696202531645
color t+0,>,color_goal,color t+12,<,color_goal,49,27,22,62,64.47368421052632
color t+12,>,color_goal,color t+0,<,color_goal,47,27,22,64,63.51351351351351
angle t+39,<,angle t+4,color t+0,<,color_goal,42,25,16,50,62.68656716417911
color t+0,<=,color_goal,color t+1,<,color_goal,56,34,19,62,62.22222222222222
color t+0,<,color_goal,color t+16,<,color_goal,41,26,28,61,61.19402985074627
color t+0,<,color_goal,color t+21,>,color t+47,34,22,28,41,60.71428571428571
color t+0,==,color_goal,color t+48,<,color t+23,6,4,54,60,60.0
distance t+0,<,distance t+44,color t+2,<,color_goal,3,2,54,69,60.0
color t+35,==,color t+30,color t+0,<,color_goal,3,2,57,75,60.0
color t+0,>,color_goal,color t+20,<,color_goal,44,30,23,55,59.45945945945946
color t+20,>,color_goal,color t+0,<,color_goal,42,29,22,59,59.154929577464785
color t+11,>,color_goal,color t+0,<,color_goal,44,31,25,61,58.666666666666664
color t+0,>,color_goal,color t+5,<,color_goal,46,33,29,59,58.22784810126582
color t+0,>,color_goal,color t+13,<,color_goal,44,32,27,56,57.89473684210527
color t+0,<,color_goal,color t+7,<,color_goal,41,30,33,61,57.74647887323944
color t+0,>,color_goal,color t+21,<,color_goal,42,31,25,53,57.534246575342465
color t+1,>,color_goal,color t+25,<,color t+0,40,31,31,45,56.33802816901409
color t+0,>,color_goal,color t+32,<,color t+8,37,29,27,47,56.060606060606055
color t+19,>,color_goal,color t+0,<,color_goal,40,32,25,56,55.55555555555556
color t+10,>,color_goal,color t+0,<=,color_goal,42,34,42,44,55.26315789473685
color t+2,>,color_goal,color t+0,<=,color_goal,44,36,46,44,55.00000000000001
color t+13,>,color_goal,color t+0,<,color_goal,40,33,29,57,54.794520547945204
color t+5,>,color_goal,color t+0,<,color_goal,42,35,31,59,54.54545454545454
color t+27,>,color_goal,color t+0,<,color_goal,37,31,24,53,54.41176470588235
color t+28,>,color_goal,color t+0,<,color_goal,36,31,25,52,53.73134328358209
color t+26,>,color t+15,color t+0,<,color_goal,38,33,23,52,53.52112676056338
color t+0,<=,color_goal,color t+7,<,color_goal,46,40,28,51,53.48837209302325
color t+0,>,color_goal,color t+45,<,color_goal,32,28,23,44,53.333333333333336
color t+0,>,color_goal,color t+11,<,color_goal,41,36,30,54,53.246753246753244
color t+0,>,color_goal,color t+38,<,color_goal,34,30,25,45,53.125
color t+21,>,color_goal,color t+0,<,color_goal,37,33,27,54,52.85714285714286
color t+0,>,color_goal,color t+19,<,color_goal,39,35,28,51,52.702702702702695
color t+0,>,color_goal,color t+46,<,color_goal,31,28,24,43,52.54237288135594
color t+0,<,color_goal,color t+23,<,color_goal,33,30,33,53,52.38095238095239
color t+22,>,color_goal,color t+24,<,color t+0,35,32,33,48,52.23880597014925
color t+46,>,color_goal,color t+0,<,color_goal,29,28,27,42,50.877192982456144
color t+0,>,color_goal,color t+44,<,color_goal,31,30,24,43,50.81967213114754
color t+36,>,color_goal,color t+0,<,color_goal,32,31,27,46,50.79365079365079
color t+0,>,color_goal,color t+37,<,color_goal,33,32,26,44,50.76923076923077
color t+0,>,color_goal,color t+29,<,color_goal,34,34,29,46,50.0
angle t+0,>,angle t+28,color t+38,<,color_goal,34,34,25,41,50.0
color t+35,>,color_goal,color t+0,<,color_goal,32,32,28,45,50.0
color t+45,>,color_goal,color t+0,<,color_goal,29,29,27,42,50.0
color t+0,>,color_goal,color t+48,<,color t+23,29,29,31,35,50.0
color t+0,>,color_goal,color t+26,<,color t+2,35,36,31,44,49.29577464788733
color t+0,>,color_goal,color t+28,<,color_goal,34,35,29,46,49.275362318840585
color t+34,>,color_goal,color t+0,<,color_goal,32,33,29,44,49.23076923076923
color t+0,>,color_goal,color t+36,<,color_goal,32,33,27,44,49.23076923076923
color t+44,>,color_goal,color t+0,<,color_goal,29,30,27,42,49.152542372881356
color t+47,>,color_goal,color t+0,<,color_goal,28,29,28,40,49.122807017543856
color t+0,<=,color_goal,color t+32,<,color_goal,36,38,25,41,48.64864864864865
color t+0,>,color_goal,color t+47,<,color_goal,28,30,27,40,48.275862068965516
distance t+0,<=,distance t+6,color t+31,<,color t+6,14,15,53,59,48.275862068965516
