Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+15,>,color_goal,color t+0,<,color_goal,37,44,34,62,45.67901234567901
color t+8,>,color_goal,color t+0,<,color_goal,37,45,36,66,45.1219512195122
color t+34,>,color_goal,color t+0,<,color_goal,32,39,31,56,45.07042253521127
color t+0,>,color_goal,color t+28,<,color_goal,36,44,33,51,45.0
color t+3,>,color_goal,color t+0,<,color_goal,38,48,38,65,44.18604651162791
color t+0,>,color_goal,color t+41,<,color_goal,33,42,29,47,44.0
color t+0,>,color_goal,color t+14,<,color_goal,37,48,35,58,43.529411764705884
color t+0,>,color_goal,color t+22,<,color_goal,36,47,34,53,43.373493975903614
color t+38,>,color_goal,color t+0,<,color_goal,29,38,32,55,43.28358208955223
color t+43,>,color_goal,color t+0,<,color_goal,29,38,28,54,43.28358208955223
color t+33,>,color_goal,color t+0,<,color_goal,31,41,33,54,43.05555555555556
angle t+0,<,angle t+24,color t+9,<,color_goal,34,45,35,54,43.037974683544306
color t+0,>,color_goal,color t+34,<,color_goal,33,44,31,50,42.857142857142854
speed t+0,>,speed t+18,color t+4,<,color_goal,58,79,14,23,42.33576642335766
color t+32,>,color_goal,color t+0,<,color_goal,30,42,35,53,41.66666666666667
color t+12,>,color_goal,color t+0,<,color_goal,34,48,39,59,41.46341463414634
color t+35,>,color_goal,color t+0,<,color_goal,29,41,34,53,41.42857142857143
color t+0,>,color_goal,color t+37,<,color_goal,31,44,33,47,41.333333333333336
color t+16,>,color_goal,color t+0,<,color_goal,33,47,38,58,41.25
color t+36,>,color_goal,color t+0,<,color_goal,28,41,35,52,40.57971014492754
color t+48,>,color_goal,color t+0,<,color_goal,25,37,32,50,40.32258064516129
color t+11,>,color_goal,color t+0,<,color_goal,33,49,40,59,40.243902439024396
speed t+9,>,speed t+23,color t+0,<,color_goal,50,75,17,27,40.0
color t+0,>,color_goal,color t+12,<,color_goal,34,51,40,55,40.0
color t+0,>,color_goal,color t+47,<,color_goal,28,42,32,43,40.0
distance t+46,==,distance t+21,color t+0,<,color_goal,2,3,55,86,40.0
color t+0,>,color_goal,color t+9,<,color_goal,34,52,43,54,39.53488372093023
color t+22,>,color_goal,color t+0,<,color_goal,30,46,38,56,39.473684210526315
color t+0,>,color_goal,color t+35,<,color_goal,30,46,34,47,39.473684210526315
color t+9,>,color_goal,color t+0,<,color_goal,32,50,41,60,39.02439024390244
color t+0,>,color_goal,color t+32,<,color_goal,30,47,35,48,38.961038961038966
color t+0,>,color_goal,color t+33,<,color_goal,30,47,34,48,38.961038961038966
color t+0,>,color_goal,color t+11,<,color_goal,33,52,42,54,38.82352941176471
color t+39,>,color_goal,color t+0,<,color_goal,26,41,34,52,38.80597014925373
color t+0,>,color_goal,color t+36,<,color_goal,29,46,35,46,38.666666666666664
color t+0,>,color_goal,color t+38,<,color_goal,29,46,35,44,38.666666666666664
color t+0,>,color_goal,angle t+21,<,angle t+42,29,46,41,34,38.666666666666664
distance t+21,<=,distance t+37,color t+0,<,color_goal,15,24,47,69,38.46153846153847
color t+37,>,color_goal,color t+0,<,color_goal,26,42,36,51,38.23529411764706
color t+0,>,color_goal,color t+13,<,color_goal,32,53,41,53,37.64705882352941
color t+28,>,color_goal,color t+0,<,color_goal,27,45,39,53,37.5
color t+0,==,color_goal,color t+1,<,color_goal,9,15,70,97,37.5
speed t+24,<,speed t+4,color t+0,<,color_goal,50,84,16,18,37.3134328358209
color t+0,>,color_goal,color t+2,<,color_goal,33,56,46,55,37.07865168539326
color t+0,>,color_goal,color t+29,<,color_goal,29,50,39,45,36.708860759493675
color t+10,>,color_goal,color t+0,<,color_goal,30,52,43,57,36.58536585365854
