Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,8,91,102,41,8.080808080808081
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+0,>=,color_goal,100,0,33,110,100.0
color t+0,>,color_goal,color t+1,>=,color_goal,91,8,41,102,91.91919191919192
color t+0,>,color_goal,distance t+1,>=,distance t+25,81,12,102,23,87.09677419354838
color t+23,>,color_goal,angle t+0,>=,angle t+16,72,13,48,87,84.70588235294117
color t+48,>,color_goal,distance t+0,>=,distance t+24,60,11,105,19,84.50704225352112
color t+46,>,color_goal,angle t+0,>=,angle t+16,61,12,48,76,83.56164383561644
color t+18,>,color_goal,distance t+0,>=,distance t+24,74,15,110,20,83.14606741573034
color t+0,>,color_goal,speed t+0,>,speed t+49,69,14,79,32,83.13253012048193
color t+0,<,color_goal,color t+1,<,color_goal,91,19,19,113,82.72727272727273
color t+22,>,color_goal,color t+0,>=,color_goal,71,15,50,85,82.55813953488372
color t+0,>,color_goal,color t+1,>,color_goal,81,18,18,125,81.81818181818183
color t+2,>,color_goal,color t+0,>=,color_goal,80,18,51,92,81.63265306122449
color t+44,>,color_goal,color t+0,>=,color_goal,60,14,52,73,81.08108108108108
color t+45,>,color_goal,color t+0,>=,color_goal,59,15,52,72,79.72972972972973
color t+21,>,color_goal,color t+0,>=,color_goal,69,18,53,82,79.3103448275862
color t+43,>,color_goal,color t+0,>=,color_goal,58,17,55,70,77.33333333333333
color t+0,<=,color_goal,color t+0,<,color_goal,110,33,0,100,76.92307692307693
color t+16,>,color_goal,speed t+0,>,speed t+49,65,20,83,26,76.47058823529412
color t+35,>,color_goal,speed t+0,>,speed t+49,61,20,87,26,75.30864197530865
color t+20,>,color_goal,color t+0,>=,color_goal,66,22,57,78,75.0
color t+26,>,color_goal,color t+0,>=,color_goal,59,23,59,76,71.95121951219512
