Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,9,79,72,32,10.227272727272728
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,>=,color_goal,79,9,32,72,89.77272727272727
color t+15,>,color_goal,distance t+0,>,distance t+29,66,8,62,28,89.1891891891892
color t+19,>,color_goal,distance t+0,>,distance t+29,61,12,67,24,83.56164383561644
color t+34,>,color_goal,distance t+0,>,distance t+29,57,12,66,24,82.6086956521739
speed t+34,>,speed t+48,distance t+11,<,distance t+0,85,18,33,9,82.52427184466019
color t+0,>,color_goal,distance t+0,>,distance t+29,66,14,62,22,82.5
color t+0,<=,color_goal,color t+1,<=,color_goal,84,20,21,67,80.76923076923077
color t+3,>,color_goal,distance t+11,<,distance t+0,67,17,72,26,79.76190476190477
color t+29,>,color_goal,distance t+0,>,distance t+29,54,15,74,21,78.26086956521739
color t+0,>,color_goal,speed t+22,>=,speed t+40,59,17,61,16,77.63157894736842
color t+0,<=,color_goal,color t+0,<,color_goal,81,24,0,88,77.14285714285715
color t+0,>,color_goal,color t+1,>,color_goal,67,21,20,84,76.13636363636364
color t+0,>=,color t+38,color t+1,>=,color_goal,68,22,24,41,75.55555555555556
color t+8,>,color_goal,distance t+0,>,distance t+29,55,18,73,18,75.34246575342466
color t+0,<,color_goal,color t+1,<,color_goal,57,23,24,88,71.25
speed t+45,>,speed t+0,angle t+23,<,angle t+27,16,7,54,71,69.56521739130434
color t+0,<=,color_goal,color t+1,<,color_goal,72,32,9,79,69.23076923076923
color t+22,>,color_goal,color t+0,>=,color_goal,49,25,51,46,66.21621621621621
color t+40,>,color_goal,color t+0,>=,color_goal,42,22,49,40,65.625
color t+12,>,color_goal,color t+0,>=,color_goal,52,28,53,48,65.0
color t+0,>,color_goal,color t+6,<,color_goal,56,31,25,75,64.36781609195403
color t+42,>,color_goal,color t+0,>=,color_goal,41,23,49,38,64.0625
color t+11,>,color_goal,color t+0,>=,color_goal,51,29,55,47,63.74999999999999
color t+0,>=,color_goal,color t+48,<=,color t+10,54,31,28,32,63.52941176470588
color t+4,>,color_goal,color t+0,<=,color_goal,53,31,49,56,63.095238095238095
color t+0,==,color_goal,color t+1,<,color_goal,15,9,66,102,62.5
color t+29,>,color_goal,color t+0,>=,color_goal,43,26,54,41,62.31884057971014
color t+0,>=,color t+38,color t+38,<,color_goal,56,34,10,55,62.22222222222222
color t+0,>=,color t+38,color t+15,>=,color t+7,55,35,31,34,61.111111111111114
color t+0,>,color_goal,color t+5,<,color_goal,53,34,28,73,60.91954022988506
color t+36,>,color_goal,color t+0,>=,color_goal,40,27,53,37,59.70149253731343
color t+0,<,color_goal,color t+30,<,color_goal,40,27,30,66,59.70149253731343
distance t+0,<=,distance t+32,color t+39,<,color_goal,19,13,47,75,59.375
color t+7,>,color_goal,color t+0,<,color_goal,48,33,29,76,59.25925925925925
color t+0,>,color_goal,color t+26,<,color_goal,48,33,23,63,59.25925925925925
color t+0,>,color_goal,color t+7,<,color_goal,51,36,30,69,58.620689655172406
color t+6,>,color_goal,color t+0,<,color_goal,48,34,30,75,58.536585365853654
color t+0,>,color_goal,color t+25,<,color_goal,47,34,24,63,58.0246913580247
color t+25,>,color_goal,color t+0,<,color_goal,42,31,27,68,57.534246575342465
color t+26,>,color_goal,color t+0,<,color_goal,41,31,27,68,56.94444444444444
color t+0,>=,color_goal,color t+6,<,color_goal,62,47,19,59,56.88073394495413
angle t+0,>=,angle t+38,color t+6,<,color_goal,49,38,18,50,56.32183908045977
color t+5,>,color_goal,color t+0,<,color_goal,46,37,33,72,55.42168674698795
speed t+0,<=,speed t+49,color t+0,<,color_goal,11,9,49,75,55.00000000000001
speed t+0,<=,speed t+49,color t+1,>=,color_goal,11,9,73,51,55.00000000000001
color t+0,>,color_goal,color t+27,<,color_goal,44,37,27,58,54.32098765432099
color t+0,>,color_goal,color t+4,<,color_goal,47,40,34,68,54.02298850574713
distance t+30,==,distance t+0,color t+1,<,color_goal,7,6,60,90,53.84615384615385
distance t+30,==,distance t+0,color t+0,<,color_goal,7,6,60,90,53.84615384615385
color t+27,>,color_goal,color t+0,<,color_goal,38,33,29,66,53.52112676056338
color t+0,>,color_goal,color t+48,<,color_goal,38,33,24,50,53.52112676056338
