Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,72,58,24,19.101123595505616
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,<=,color_goal,color t+0,<,color_goal,75,7,0,90,91.46341463414635
color t+0,>,color_goal,color t+1,>=,color_goal,72,17,24,58,80.89887640449437
color t+0,>,color_goal,angle t+0,>,angle t+35,57,16,14,50,78.08219178082192
color t+0,>,color_goal,color t+0,>=,color t+11,65,19,16,61,77.38095238095238
color t+0,>,color_goal,color t+1,>,color_goal,68,21,21,61,76.40449438202246
color t+0,<=,color_goal,color t+1,<=,color_goal,61,21,21,68,74.39024390243902
color t+0,<,color_goal,color t+1,<,color_goal,55,20,20,76,73.33333333333333
color t+0,<=,color_goal,color t+1,<,color_goal,58,24,17,72,70.73170731707317
color t+0,<,color_goal,color t+47,>,color t+0,37,16,20,52,69.81132075471697
angle t+23,>=,angle t+17,angle t+14,>,angle t+0,46,21,31,51,68.65671641791045
color t+0,>,color_goal,color t+4,<,color_goal,59,28,16,65,67.81609195402298
color t+0,>,color_goal,speed t+13,<=,speed t+11,56,28,57,18,66.66666666666666
color t+30,>,color_goal,color t+0,>=,color_goal,49,25,33,35,66.21621621621621
color t+0,>=,color_goal,color t+4,<,color_goal,61,33,14,60,64.8936170212766
color t+0,>,color_goal,color t+3,<,color_goal,55,32,20,62,63.2183908045977
color t+0,>,color_goal,color t+5,<,color_goal,55,32,20,60,63.2183908045977
color t+4,>,color_goal,color t+0,<,color_goal,54,33,20,61,62.06896551724138
color t+29,>,color_goal,color t+0,>,color_goal,45,29,32,37,60.810810810810814
color t+31,>,color_goal,color t+0,>,color_goal,45,29,32,35,60.810810810810814
color t+18,>,color_goal,color t+0,>=,color_goal,48,31,39,36,60.75949367088608
color t+16,>,color_goal,color t+0,>,color_goal,49,32,33,42,60.49382716049383
color t+5,>,color_goal,color t+0,<,color_goal,52,34,21,60,60.46511627906976
color t+45,>,color_goal,color t+0,>,color_goal,39,26,28,34,60.0
color t+0,<,color_goal,color t+46,<,color_goal,32,22,25,47,59.25925925925925
color t+15,>,color_goal,color t+0,>=,color_goal,48,34,42,33,58.536585365853654
color t+0,<=,color_goal,color t+8,<,color_goal,45,32,30,57,58.44155844155844
color t+0,>,color_goal,color t+13,<,color_goal,49,35,21,54,58.333333333333336
color t+0,>=,color_goal,color t+2,>=,color t+13,53,38,26,42,58.24175824175825
color t+3,>,color_goal,color t+0,<,color_goal,51,37,24,57,57.95454545454546
color t+10,>,color_goal,color t+0,>,color_goal,48,35,37,42,57.831325301204814
color t+6,>,color_goal,color t+0,>=,color t+11,47,35,34,45,57.3170731707317
