Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,18,71,55,23,20.224719101123593
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,<=,color_goal,color t+0,<,color_goal,73,6,0,89,92.40506329113924
color t+45,>,color_goal,distance t+16,<=,distance t+0,55,8,53,7,87.3015873015873
color t+23,>,color_goal,distance t+16,<=,distance t+0,64,11,52,18,85.33333333333334
color t+10,>,color_goal,speed t+0,>,speed t+26,64,12,52,14,84.21052631578947
color t+0,<,color_goal,speed t+23,>,speed t+49,42,8,51,18,84.0
color t+0,>,color_goal,speed t+7,>,speed t+33,59,14,50,12,80.82191780821918
color t+0,<,color_goal,color t+1,<=,color_goal,58,14,21,74,80.55555555555556
color t+0,>,color_goal,color t+1,>=,color_goal,71,18,23,55,79.7752808988764
color t+22,>,color_goal,speed t+0,>,speed t+26,60,16,56,10,78.94736842105263
color t+0,>,color_goal,color t+1,>,color_goal,69,20,19,59,77.52808988764045
color t+0,<,color_goal,color t+1,<,color_goal,54,18,19,76,75.0
color t+0,>,color_goal,speed t+23,>,speed t+49,49,17,44,9,74.24242424242425
color t+38,>,color_goal,color t+0,>,color_goal,49,18,22,41,73.13432835820896
color t+29,>,color_goal,color t+0,>=,color_goal,52,20,29,38,72.22222222222221
color t+0,<=,color_goal,color t+1,<,color_goal,55,23,18,71,70.51282051282051
color t+0,<=,color_goal,color t+30,<=,color t+26,44,19,30,45,69.84126984126983
color t+31,>,color_goal,color t+0,>=,color_goal,49,23,30,35,68.05555555555556
color t+29,>,color_goal,color t+0,>,color_goal,49,23,27,40,68.05555555555556
color t+22,>,color_goal,angle t+22,>,angle t+0,51,25,23,47,67.10526315789474
color t+0,>,color_goal,color t+4,<,color_goal,59,30,14,61,66.29213483146067
color t+0,>,color_goal,color t+5,<,color_goal,58,31,15,59,65.1685393258427
color t+0,<=,color_goal,color t+28,<=,color t+24,41,22,35,42,65.07936507936508
color t+4,>,color_goal,color t+0,<,color_goal,55,30,14,65,64.70588235294117
color t+0,<=,color_goal,color t+38,<,color_goal,38,21,19,52,64.40677966101694
color t+5,>,color_goal,color t+0,<,color_goal,53,31,15,64,63.095238095238095
color t+0,>,color_goal,color t+34,<,color_goal,45,28,14,47,61.64383561643836
color t+16,>,color_goal,color t+0,>=,color_goal,48,30,40,34,61.53846153846154
angle t+5,>=,angle t+9,color t+0,<,color_goal,48,32,19,60,60.0
color t+3,>,color_goal,color t+0,<=,color_goal,51,35,25,54,59.30232558139535
color t+31,<=,color t+29,color t+4,<=,color t+0,39,27,32,39,59.09090909090909
color t+35,>,color_goal,color t+0,<=,color_goal,40,28,20,45,58.82352941176471
color t+7,>,color_goal,color t+0,>,color_goal,48,34,39,40,58.536585365853654
color t+0,<=,color_goal,color t+39,<,color_goal,34,25,22,48,57.6271186440678
color t+0,>,color_goal,color t+33,<,color_goal,42,31,17,45,57.534246575342465
color t+0,>,color_goal,color t+35,<,color_goal,42,31,17,43,57.534246575342465
color t+0,<,color_goal,color t+8,<,color_goal,39,29,33,59,57.35294117647059
color t+21,>,color_goal,color t+4,<=,color t+0,43,33,35,36,56.57894736842105
color t+0,>,color_goal,color t+25,<,color_goal,44,34,20,45,56.41025641025641
color t+0,>,color_goal,color t+3,<,color_goal,50,39,23,53,56.17977528089888
color t+25,>,color_goal,color t+0,<,color_goal,41,32,19,51,56.16438356164384
angle t+0,>=,angle t+4,color t+13,<,color_goal,43,34,25,53,55.84415584415584
color t+6,>,color_goal,color t+0,<=,color_goal,46,37,28,51,55.42168674698795
color t+34,>,color_goal,color t+0,<,color_goal,38,31,18,47,55.072463768115945
color t+0,>,color_goal,color t+6,<,color_goal,48,40,25,49,54.54545454545454
color t+35,>,color_goal,color t+0,<,color_goal,37,31,18,47,54.41176470588235
color t+0,>,color_goal,color t+26,<,color_goal,42,36,22,42,53.84615384615385
color t+43,>,color_goal,color t+0,<,color_goal,35,30,17,43,53.84615384615385
color t+14,>,color_goal,color t+0,>=,color_goal,43,37,47,27,53.75
color t+0,>,color_goal,color t+43,<,color_goal,37,32,17,39,53.62318840579711
color t+3,>,color_goal,color t+0,<,color_goal,46,40,24,55,53.48837209302325
color t+0,>,color_goal,color t+24,<,color_goal,42,37,22,43,53.16455696202531
color t+42,>,color_goal,color t+0,<,color_goal,35,31,18,42,53.03030303030303
color t+0,>=,color_goal,color t+24,<,color_goal,44,40,20,40,52.38095238095239
color t+0,<=,color_goal,color t+28,<,color_goal,33,30,29,48,52.38095238095239
color t+0,>,color_goal,color t+42,<,color_goal,36,33,18,39,52.17391304347826
color t+23,>,color_goal,color t+0,>,color_goal,39,36,41,29,52.0
color t+6,>,color_goal,color t+0,<,color_goal,43,40,25,54,51.80722891566265
angle t+41,>=,angle t+48,color t+0,<,color_goal,34,32,17,37,51.515151515151516
color t+33,>,color_goal,color t+0,<,color_goal,36,34,21,44,51.42857142857142
color t+26,>,color_goal,color t+0,<,color_goal,37,35,22,48,51.388888888888886
color t+24,>,color_goal,color t+0,<,color_goal,38,36,22,48,51.35135135135135
color t+12,>,color_goal,color t+0,<=,color_goal,41,41,29,45,50.0
speed t+45,>=,speed t+0,color t+14,<,color_goal,9,9,44,61,50.0
color t+0,==,color_goal,color t+4,<,color_goal,3,3,70,88,50.0
color t+0,>,color_goal,color t+13,<,color_goal,42,43,26,44,49.411764705882355
color t+0,>,color_goal,color t+36,<,color_goal,36,37,23,36,49.31506849315068
color t+0,<=,color_goal,color t+22,<,color_goal,32,33,32,49,49.23076923076923
color t+14,>,color_goal,color t+0,<=,color_goal,39,41,30,44,48.75
color t+44,>,color_goal,color t+0,<,color_goal,31,33,21,39,48.4375
color t+13,>,color_goal,color t+0,<,color_goal,39,42,25,49,48.148148148148145
color t+0,<=,color_goal,color t+17,<,color_goal,33,36,35,47,47.82608695652174
color t+36,>,color_goal,color t+0,<,color_goal,32,35,22,43,47.76119402985074
color t+0,>,color_goal,color t+12,<,color_goal,41,45,27,43,47.674418604651166
color t+0,>,color_goal,color t+23,<,color_goal,38,42,26,39,47.5
color t+0,>,color_goal,color t+27,<,color_goal,37,41,26,37,47.43589743589743
angle t+0,>=,angle t+4,color t+11,<,color_goal,37,41,32,47,47.43589743589743
color t+27,>,color_goal,color t+0,<=,color_goal,34,38,29,40,47.22222222222222
color t+0,>,color_goal,color t+14,<,color_goal,40,45,28,41,47.05882352941176
color t+0,>,color_goal,color t+44,<,color_goal,32,36,22,34,47.05882352941176
color t+0,>,color_goal,color t+16,<=,color t+12,39,44,44,25,46.98795180722892
color t+0,>,color_goal,color t+49,<,color_goal,31,35,19,34,46.96969696969697
color t+0,>,color_goal,color t+41,<,color_goal,32,37,22,36,46.3768115942029
color t+12,>,color_goal,color t+0,<,color_goal,38,44,26,48,46.34146341463415
color t+14,>,color_goal,color t+0,<,color_goal,37,43,27,47,46.25
color t+49,>,color_goal,color t+0,<,color_goal,29,34,21,35,46.03174603174603
color t+0,>,color_goal,color t+28,<=,color t+24,35,42,41,22,45.45454545454545
color t+0,>,color_goal,color t+11,<,color_goal,39,47,30,41,45.348837209302324
color t+0,>,color t+27,color t+11,<,color_goal,34,41,26,40,45.33333333333333
color t+0,>,color_goal,color t+32,<,color_goal,33,40,26,37,45.20547945205479
color t+0,<,color_goal,color t+48,<,color_goal,23,28,28,41,45.09803921568628
color t+0,>,color_goal,color t+18,<,color_goal,36,45,32,37,44.44444444444444
color t+27,>,color_goal,color t+0,<,color_goal,32,40,26,43,44.44444444444444
distance t+46,==,distance t+48,color t+0,>=,color_goal,8,10,61,41,44.44444444444444
color t+23,>,color_goal,color t+0,<,color_goal,33,42,27,43,44.0
color t+11,>,color_goal,color t+0,<,color_goal,36,46,29,46,43.90243902439025
color t+41,>,color_goal,color t+0,<,color_goal,29,38,25,35,43.28358208955223
color t+0,>,color_goal,color t+20,<,color_goal,35,46,31,36,43.20987654320987
color t+0,>,color_goal,color t+15,<,color_goal,36,48,32,37,42.857142857142854
color t+48,>,color_goal,color t+0,<,color_goal,27,36,24,33,42.857142857142854
color t+0,>,color_goal,color t+17,<,color_goal,35,47,33,36,42.68292682926829
color t+0,>,color t+27,color t+24,<,color_goal,32,43,29,37,42.66666666666667
color t+0,>,color_goal,color t+48,<,color_goal,28,38,23,31,42.42424242424242
color t+32,>,color_goal,color t+0,<,color_goal,30,41,28,37,42.25352112676056
color t+0,>,color_goal,color t+16,<,color_goal,35,48,33,36,42.168674698795186
color t+0,>,color_goal,color t+19,<,color_goal,34,47,33,35,41.9753086419753
color t+0,>,color_goal,color t+7,<,color_goal,36,51,37,37,41.37931034482759
color t+18,>,color_goal,color t+0,<,color_goal,31,45,33,41,40.78947368421053
color t+0,>,color_goal,color t+5,>=,color t+42,28,41,36,21,40.57971014492754
color t+0,>,color_goal,angle t+5,>,angle t+41,28,41,36,22,40.57971014492754
color t+0,>,color_goal,color t+30,<=,color t+26,30,45,44,19,40.0
color t+45,>,color_goal,color t+0,<,color_goal,25,38,27,33,39.682539682539684
color t+0,>,color_goal,color t+21,<,color_goal,32,49,33,33,39.50617283950617
color t+0,>,color_goal,color t+22,<,color_goal,32,49,32,33,39.50617283950617
color t+0,>,color_goal,color t+2,<,color_goal,35,54,38,39,39.325842696629216
color t+15,>,color_goal,color t+0,<,color_goal,31,48,33,41,39.24050632911392
color t+10,>,color_goal,angle t+22,>,angle t+0,31,48,43,24,39.24050632911392
color t+17,>,color_goal,color t+0,<,color_goal,30,47,34,40,38.961038961038966
color t+0,>=,color_goal,color t+2,<,color_goal,37,58,36,35,38.94736842105263
distance t+31,==,distance t+29,color t+0,<,color_goal,7,11,51,68,38.88888888888889
color t+0,>,color_goal,color t+45,<,color_goal,26,41,28,28,38.80597014925373
color t+16,>,color_goal,color t+0,<,color_goal,30,48,34,40,38.46153846153847
color t+0,>,color_goal,color t+10,<,color_goal,33,53,37,35,38.372093023255815
color t+20,>,color_goal,color t+0,<,color_goal,29,47,33,39,38.15789473684211
color t+47,>,color_goal,color t+0,<,color_goal,24,39,28,30,38.095238095238095
color t+0,>,color_goal,color t+47,<,color_goal,25,41,27,28,37.878787878787875
color t+7,>,color_goal,color t+0,<,color_goal,31,51,37,42,37.80487804878049
color t+0,>,color_goal,color t+40,<,color_goal,26,43,29,30,37.68115942028986
color t+0,>,color_goal,color t+28,<,color_goal,29,48,33,30,37.66233766233766
color t+0,>,color_goal,color t+37,<,color_goal,27,45,31,28,37.5
color t+37,>,color_goal,color t+0,<,color_goal,25,42,29,35,37.3134328358209
color t+40,>,color_goal,color t+0,<,color_goal,25,42,29,32,37.3134328358209
color t+19,>,color_goal,color t+0,<,color_goal,28,48,35,38,36.84210526315789
color t+21,>,color_goal,color t+0,<,color_goal,28,48,33,38,36.84210526315789
color t+22,>,color_goal,color t+0,<,color_goal,28,48,32,38,36.84210526315789
color t+12,<,color t+49,color t+0,<,color_goal,21,36,29,33,36.84210526315789
color t+2,>,color_goal,color t+0,<,color_goal,32,55,39,40,36.7816091954023
color t+46,>,color_goal,color t+0,<,color_goal,23,40,29,30,36.507936507936506
color t+0,>,color_goal,color t+46,<,color_goal,24,42,29,27,36.36363636363637
color t+31,<=,color t+29,color t+0,<,color_goal,24,42,34,37,36.36363636363637
speed t+43,>=,speed t+16,color t+0,<,color_goal,9,16,43,57,36.0
color t+10,>,color_goal,color t+0,<,color_goal,29,53,37,39,35.36585365853659
color t+0,>,color_goal,color t+8,<,color_goal,30,56,42,32,34.883720930232556
color t+0,>,color_goal,color t+9,<=,color t+5,30,56,56,17,34.883720930232556
color t+28,>,color_goal,color t+0,<,color_goal,25,47,33,35,34.72222222222222
color t+9,>,color_goal,color t+0,<=,color_goal,28,54,45,32,34.146341463414636
color t+0,>,color_goal,color t+31,<,color_goal,25,49,34,29,33.78378378378378
color t+0,>,color_goal,color t+9,<,color_goal,29,57,42,31,33.72093023255814
distance t+44,==,distance t+42,color t+0,<,color_goal,6,12,46,60,33.33333333333333
color t+31,>,color_goal,color t+0,<,color_goal,23,49,35,30,31.944444444444443
color t+8,>,color_goal,color t+0,<,color_goal,26,56,42,36,31.70731707317073
color t+0,>,color_goal,color t+39,<,color_goal,22,48,34,25,31.428571428571427
color t+9,>,color_goal,color t+0,<,color_goal,25,57,42,35,30.48780487804878
color t+0,>,color_goal,color t+29,<,color_goal,23,53,38,25,30.263157894736842
color t+0,<=,color_goal,color t+3,<,color_goal,23,53,50,39,30.263157894736842
color t+39,>,color_goal,color t+0,<,color_goal,20,47,34,28,29.850746268656714
color t+30,>,color_goal,color t+0,<=,color_goal,21,51,42,24,29.166666666666668
color t+0,>,color_goal,color t+30,<,color_goal,21,54,39,24,28.000000000000004
color t+29,>,color_goal,color t+0,<,color_goal,20,52,38,29,27.77777777777778
color t+19,>,color_goal,distance t+0,<=,distance t+17,21,55,19,54,27.631578947368425
color t+0,>,color_goal,color t+38,<,color_goal,19,52,38,21,26.76056338028169
color t+30,>,color_goal,color t+0,<,color_goal,19,53,39,27,26.38888888888889
color t+38,>,color_goal,color t+0,<,color_goal,17,50,37,26,25.37313432835821
color t+0,>,color_goal,color t+1,<,color_goal,18,71,55,23,20.224719101123593
angle t+0,>=,angle t+4,color t+0,<=,color_goal,10,72,65,17,12.195121951219512
color t+0,>=,color_goal,color t+0,<,distance_goal,95,0,73,0,10.000000000000009
color t+0,>,color_goal,angle t+1,<,color_goal,89,0,77,1,10.000000000000009
color t+0,>,color_goal,color t+1,<,distance_goal,89,0,78,0,10.000000000000009
color t+0,>,color_goal,speed t+0,>,color t+3,89,0,76,0,10.000000000000009
color t+0,>,color_goal,color t+0,<,distance_goal,89,0,79,0,10.000000000000009
color t+0,>,color_goal,angle t+0,<=,distance t+1,89,0,78,0,10.000000000000009
color t+0,>,color_goal,color t+0,<,speed t+6,88,0,74,0,10.000000000000009
color t+0,>,color_goal,angle t+12,<=,distance t+13,85,0,70,0,10.000000000000009
color t+6,>,color_goal,color t+0,<,distance_goal,83,0,79,0,10.000000000000009
color t+0,>,color_goal,angle t+9,<,distance t+17,82,0,69,0,10.000000000000009
color t+10,>,color_goal,color t+0,<,distance_goal,82,0,76,0,10.000000000000009
color t+11,>,color_goal,angle t+0,<=,distance t+1,82,0,75,0,10.000000000000009
color t+0,>,color_goal,speed t+22,>=,color t+0,81,0,65,0,10.000000000000009
color t+0,>,color_goal,angle t+19,<,speed t+0,81,0,68,0,10.000000000000009
color t+13,>,color_goal,angle t+0,<,color_goal,81,0,73,1,10.000000000000009
color t+13,>,color_goal,color t+0,<,distance_goal,81,0,74,0,10.000000000000009
color t+0,>,color_goal,angle t+23,<,speed t+4,80,0,65,0,10.000000000000009
color t+14,>,color_goal,color t+0,<,distance_goal,80,0,74,0,10.000000000000009
color t+15,>,color_goal,angle t+19,<,speed t+0,79,0,70,0,10.000000000000009
