Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>,color_goal,color t+1,<,color_goal,17,69,72,37,19.767441860465116
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+48,>=,color t+0,color t+0,<,color_goal,59,13,13,63,81.94444444444444
color t+0,<=,color_goal,color t+0,<,color_goal,90,20,0,86,81.81818181818183
color t+0,<,color_goal,color t+1,<=,color_goal,72,17,37,69,80.89887640449437
color t+0,>,color_goal,color t+1,>=,color_goal,69,17,37,72,80.23255813953489
color t+0,>,color_goal,speed t+27,<,speed t+0,59,17,70,23,77.63157894736842
color t+18,>,color_goal,speed t+27,<,speed t+0,58,18,71,22,76.31578947368422
color t+0,>,color_goal,speed t+36,<,speed t+9,52,19,68,21,73.23943661971832
color t+43,>,color_goal,distance t+7,<,distance t+0,49,19,57,28,72.05882352941177
color t+0,>,color_goal,color t+1,>,color_goal,61,25,25,84,70.93023255813954
color t+0,<,color_goal,color t+1,<,color_goal,63,26,26,80,70.78651685393258
color t+0,>,color_goal,distance t+10,>,distance t+24,54,23,69,26,70.12987012987013
color t+0,>,color_goal,distance t+29,>,distance t+43,47,21,57,28,69.11764705882352
color t+0,<=,color_goal,color t+1,<,color_goal,72,37,17,69,66.05504587155964
color t+22,>,color_goal,color t+0,<,color_goal,51,27,32,64,65.38461538461539
color t+31,>,color_goal,color t+0,<=,color_goal,47,27,43,48,63.51351351351351
color t+21,>,color_goal,color t+0,<,color_goal,49,30,34,62,62.0253164556962
color t+0,>,color_goal,color t+44,>=,color t+42,42,26,41,43,61.76470588235294
color t+0,>,color_goal,color t+22,<,color_goal,48,30,29,67,61.53846153846154
color t+23,>,color_goal,color t+0,<,color_goal,47,30,36,60,61.038961038961034
color t+40,>,color_goal,color t+0,<,color_goal,43,28,33,52,60.56338028169014
color t+0,>,color_goal,color t+4,<,color_goal,50,34,36,72,59.523809523809526
color t+39,>,color_goal,color t+0,<,color_goal,42,29,34,52,59.154929577464785
color t+0,>,color_goal,color t+5,<,color_goal,49,34,37,71,59.036144578313255
color t+32,>,color_goal,color t+0,<=,color_goal,43,30,46,45,58.9041095890411
distance t+32,==,distance t+6,color t+0,<,color_goal,7,5,71,81,58.333333333333336
color t+4,>,color_goal,color t+0,<,color_goal,50,36,38,68,58.139534883720934
